Precinct,County,Registered Voters,Paula M. Smith (Dem)_Election Day Votes,Paula M. Smith (Dem)_Advanced Voting Votes,Paula M. Smith (Dem)_Absentee by Mail Votes,Paula M. Smith (Dem)_Provisional Votes,Paula M. Smith (Dem)_Choice Total,Total,
Lilly,Dooly,536,107,146,55,0,308,308,
Byromville,Dooly,609,156,152,82,1,391,391,
Unadilla,Dooly,1634,249,439,181,1,870,870,
Vienna,Dooly,2696,206,1053,271,0,1530,1530,
Pinehurst,Dooly,474,92,169,50,0,311,311,
