index,County,Precinct,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,
0,Floyd,Alto Park,3360,318,1077,275,10,1680,90,309,221,1,621,2301,
1,Floyd,Armuchee,1269,269,382,107,2,760,35,75,34,0,144,904,
2,Floyd,Barkers,2355,387,918,187,6,1498,41,106,66,0,213,1711,
3,Floyd,Cave Spring,1617,411,322,122,2,857,64,61,91,2,218,1075,
4,Floyd,Chulio,1155,272,333,93,9,707,34,41,47,0,122,829,
5,Floyd,Etowah,4946,571,1819,406,7,2803,99,408,264,1,772,3575,
6,Floyd,Everett Springs,421,167,72,26,4,269,30,8,17,0,55,324,
7,Floyd,Floyd Springs,1666,400,564,140,20,1124,33,70,39,4,146,1270,
8,Floyd,Fosters Mill,971,274,272,67,1,614,20,36,22,0,78,692,
9,Floyd,Garden Lakes,2261,209,592,176,4,981,80,219,118,2,419,1400,
10,Floyd,Glenwood,3635,496,1010,244,1,1751,112,262,189,2,565,2316,
11,Floyd,Howell,1492,422,404,122,1,949,29,63,22,0,114,1063,
12,Floyd,East Lindale,3398,431,1063,256,0,1750,94,281,156,0,531,2281,
13,Floyd,Mt Alto North,5096,229,1119,310,4,1662,261,733,390,11,1395,3057,
14,Floyd,Mt Alto South,3923,292,857,227,5,1381,240,526,271,2,1039,2420,
15,Floyd,North Carolina,1865,269,539,123,1,932,39,110,63,3,215,1147,
16,Floyd,Riverside,826,145,197,42,4,388,45,73,25,0,143,531,
17,Floyd,East Rome,4238,261,734,231,2,1228,179,658,333,2,1172,2400,
18,Floyd,North Rome,3369,145,618,252,2,1017,153,427,368,5,953,1970,
19,Floyd,South Rome,1600,46,112,48,1,207,135,249,184,2,570,777,
20,Floyd,Texas Valley,762,250,212,59,7,528,23,34,31,0,88,616,
21,Floyd,Vanns Valley,896,135,188,80,4,407,37,52,23,0,112,519,
22,Floyd,Watters,3566,633,1163,273,6,2075,99,181,119,6,405,2480,
23,Floyd,West Lindale,2929,464,800,195,0,1459,95,186,117,0,398,1857,
24,Floyd,Town Rome,3034,174,627,183,0,984,126,408,254,2,790,1774,
