index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Floyd,Alto Park,3360,311,1123,301,8,1743,89,262,211,1,563,13,48,17,0,78,2384,
1,Floyd,Armuchee,1269,265,378,109,1,753,28,72,34,0,134,12,10,7,0,29,916,
2,Floyd,Barkers,2355,368,917,188,6,1479,36,91,71,0,198,20,21,4,0,45,1722,
3,Floyd,Cave Spring,1617,400,321,127,2,850,54,59,96,0,209,22,6,4,0,32,1091,
4,Floyd,Chulio,1155,266,330,94,10,700,29,44,54,0,127,11,3,5,0,19,846,
5,Floyd,Etowah,4946,558,1855,419,7,2839,88,355,275,1,719,27,46,25,2,100,3658,
6,Floyd,Everett Springs,421,170,68,20,4,262,24,8,20,0,52,4,3,3,0,10,324,
7,Floyd,Floyd Springs,1666,397,554,139,21,1111,24,68,40,2,134,12,11,3,0,26,1271,
8,Floyd,Fosters Mill,971,268,271,62,1,602,16,30,29,0,75,11,4,5,0,20,697,
9,Floyd,Garden Lakes,2261,204,584,177,5,970,79,213,119,2,413,11,20,10,0,41,1424,
10,Floyd,Glenwood,3635,477,1013,241,1,1732,96,231,190,0,517,29,39,11,0,79,2328,
11,Floyd,Howell,1492,411,403,119,1,934,24,56,26,0,106,8,10,0,0,18,1058,
12,Floyd,East Lindale,3398,428,1082,264,0,1774,87,262,155,0,504,22,26,11,0,59,2337,
13,Floyd,Mt Alto North,5096,210,1135,304,5,1654,241,679,383,12,1315,36,58,20,0,114,3083,
14,Floyd,Mt Alto South,3923,285,859,256,5,1405,225,512,270,0,1007,26,41,15,0,82,2494,
15,Floyd,North Carolina,1865,260,538,132,1,931,36,104,57,0,197,11,20,4,2,37,1165,
16,Floyd,Riverside,826,143,203,45,4,395,36,62,29,0,127,13,8,2,0,23,545,
17,Floyd,East Rome,4238,255,801,256,2,1314,161,613,338,0,1112,30,59,16,2,107,2533,
18,Floyd,North Rome,3369,141,653,299,1,1094,139,402,368,6,915,22,27,12,0,61,2070,
19,Floyd,South Rome,1600,43,124,42,1,210,136,243,192,2,573,13,11,3,0,27,810,
20,Floyd,Texas Valley,762,258,216,62,6,542,13,26,28,0,67,2,3,1,0,6,615,
21,Floyd,Vanns Valley,896,136,183,84,1,404,31,47,19,0,97,7,10,3,0,20,521,
22,Floyd,Watters,3566,599,1153,270,5,2027,79,158,117,6,360,41,38,14,0,93,2480,
23,Floyd,West Lindale,2929,442,790,193,0,1425,84,177,123,0,384,24,24,9,0,57,1866,
24,Floyd,Town Rome,3034,173,680,193,0,1046,116,387,253,2,758,19,38,18,0,75,1879,
