index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Floyd,Alto Park,3360,3,3,1,0,7,1,3,1,0,5,127,458,130,4,719,0,2,3,0,5,8,15,4,0,27,3,3,2,0,8,6,19,3,0,28,19,32,18,0,69,6,8,5,0,19,5,9,3,0,17,4,16,4,0,24,12,35,14,0,61,168,603,157,6,934,3,7,1,0,11,1,14,5,0,20,0,2,2,0,4,1,2,0,0,3,5,21,5,0,31,47,193,186,1,427,1,7,1,0,9,2428,
1,Floyd,Armuchee,1269,2,0,0,0,2,0,0,0,0,0,103,157,47,0,307,0,0,0,0,0,6,4,1,0,11,0,0,2,0,2,4,7,0,0,11,6,7,3,0,16,0,1,0,0,1,4,4,1,0,9,4,0,0,0,4,5,7,3,0,15,143,210,53,2,408,0,3,0,0,3,3,1,1,0,5,1,0,1,0,2,0,0,0,0,0,5,5,1,0,11,22,62,34,0,118,3,1,4,0,8,933,
2,Floyd,Barkers,2355,4,1,1,0,6,1,0,0,0,1,136,350,88,3,577,2,2,0,0,4,10,13,0,0,23,2,4,1,0,7,9,18,1,0,28,4,13,3,0,20,5,5,1,0,11,5,11,1,0,17,0,2,2,0,4,4,14,10,0,28,209,521,97,3,830,2,3,1,0,6,6,5,2,0,13,0,4,0,0,4,0,1,0,0,1,12,16,3,0,31,23,62,64,0,149,0,1,1,0,2,1762,
3,Floyd,Cave Spring,1617,3,2,0,0,5,5,2,3,0,10,153,153,64,0,370,2,2,2,0,6,5,6,1,0,12,4,0,0,0,4,11,5,4,0,20,5,5,5,0,15,2,3,2,0,7,7,5,2,0,14,3,1,1,0,5,10,6,7,0,23,209,143,57,1,410,1,1,1,2,5,8,2,0,0,10,0,0,0,0,0,3,2,0,0,5,9,10,1,0,20,43,48,84,1,176,0,1,1,0,2,1119,
4,Floyd,Chulio,1155,0,1,0,0,1,0,0,0,0,0,87,113,35,2,237,0,2,1,0,3,7,8,2,0,17,1,1,0,0,2,3,2,0,0,5,2,0,4,0,6,2,1,2,0,5,6,3,1,0,10,0,1,1,0,2,4,5,5,0,14,167,199,58,8,432,0,0,0,0,0,2,2,0,0,4,1,1,0,0,2,0,0,0,0,0,3,8,0,0,11,29,34,45,0,108,1,0,0,0,1,860,
5,Floyd,Etowah,4946,1,2,4,0,7,4,7,3,0,14,221,739,184,2,1146,1,2,1,0,4,11,22,7,0,40,3,5,3,0,11,18,26,0,0,44,8,37,12,0,57,3,5,5,0,13,13,27,3,0,43,2,11,5,0,18,11,41,11,0,63,289,1032,224,5,1550,2,8,1,0,11,9,13,7,0,29,0,6,0,0,6,1,5,1,0,7,12,31,1,0,44,74,285,250,3,612,4,5,3,0,12,3731,
6,Floyd,Everett Springs,421,2,0,0,0,2,0,0,0,0,0,62,35,8,2,107,1,0,0,0,1,3,0,2,0,5,0,0,1,0,1,3,2,0,0,5,4,1,1,0,6,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,4,1,2,0,7,99,33,13,3,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,3,21,8,17,0,46,0,0,0,0,0,335,
7,Floyd,Floyd Springs,1666,1,1,1,0,3,1,0,2,0,3,155,213,61,6,435,0,1,2,0,3,5,7,3,0,15,0,1,0,0,1,8,7,2,0,17,2,4,1,2,9,1,1,0,0,2,3,11,0,0,14,3,4,1,0,8,8,8,4,0,20,218,315,75,13,621,0,0,1,0,1,6,2,1,0,9,1,0,1,0,2,0,0,0,0,0,7,10,0,0,17,23,61,37,2,123,1,0,0,0,1,1304,
8,Floyd,Fosters Mill,971,1,0,1,0,2,1,0,1,0,2,103,108,24,0,235,0,0,0,0,0,6,3,3,0,12,2,1,1,0,4,1,5,0,0,6,2,2,1,0,5,0,1,0,0,1,3,5,0,0,8,0,0,0,0,0,4,5,2,0,11,154,154,42,1,351,1,2,0,0,3,7,1,1,0,9,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,13,23,24,0,60,0,0,0,0,0,713,
9,Floyd,Garden Lakes,2261,2,4,0,0,6,0,3,3,0,6,71,251,75,3,400,0,5,0,1,6,3,6,3,0,12,5,0,0,0,5,3,10,4,0,17,15,41,13,0,69,4,10,3,0,17,6,9,1,0,16,4,15,6,0,25,12,24,8,0,44,111,313,100,2,526,1,6,1,0,8,1,2,3,0,6,2,2,0,0,4,2,2,1,0,5,9,16,0,0,25,46,127,86,1,260,3,2,1,0,6,1463,
