index,County,Precinct,Registered Voters,Harold Proctor (I) (Rep)_Election Day Votes,Harold Proctor (I) (Rep)_Advanced Voting Votes,Harold Proctor (I) (Rep)_Absentee by Mail Votes,Harold Proctor (I) (Rep)_Provisional Votes,Harold Proctor (I) (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,386,1318,391,10,2105,2105,
1,Floyd,Armuchee,1269,294,431,125,1,851,851,
2,Floyd,Barkers,2355,420,1003,229,6,1658,1658,
3,Floyd,Cave Spring,1617,455,369,178,2,1004,1004,
4,Floyd,Chulio,1155,300,362,115,11,788,788,
5,Floyd,Etowah,4946,650,2122,545,8,3325,3325,
6,Floyd,Everett Springs,421,188,76,39,3,306,306,
7,Floyd,Floyd Springs,1666,431,611,163,23,1228,1228,
8,Floyd,Fosters Mill,971,295,291,76,0,662,662,
9,Floyd,Garden Lakes,2261,274,745,247,6,1272,1272,
10,Floyd,Glenwood,3635,584,1197,361,1,2143,2143,
11,Floyd,Howell,1492,437,444,138,1,1020,1020,
12,Floyd,East Lindale,3398,495,1267,358,2,2122,2122,
13,Floyd,Mt Alto North,5096,418,1612,531,9,2570,2570,
14,Floyd,Mt Alto South,3923,448,1199,401,5,2053,2053,
15,Floyd,North Carolina,1865,291,623,157,4,1075,1075,
16,Floyd,Riverside,826,171,252,64,4,491,491,
17,Floyd,East Rome,4238,384,1188,428,4,2004,2004,
18,Floyd,North Rome,3369,240,894,475,7,1616,1616,
19,Floyd,South Rome,1600,115,276,135,3,529,529,
20,Floyd,Texas Valley,762,271,229,72,4,576,576,
21,Floyd,Vanns Valley,896,167,224,102,2,495,495,
22,Floyd,Watters,3566,714,1300,330,10,2354,2354,
23,Floyd,West Lindale,2929,531,935,256,0,1722,1722,
24,Floyd,Town Rome,3034,264,919,346,2,1531,1531,
