Precinct,County,Registered Voters,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_Choice Total,Total,
Cecil,Cook,1899,210,619,116,0,945,945,
Delle Beamguard,Cook,2446,271,1003,210,0,1484,1484,
Elm Pine,Cook,531,57,70,55,0,182,182,
Lenox,Cook,1275,283,404,90,0,777,777,
Massee,Cook,919,110,437,48,0,595,595,
New Life Baptist Church,Cook,1233,249,502,74,0,825,825,
Riverbend,Cook,1280,138,601,116,0,855,855,
Sparks,Cook,1049,152,209,73,0,434,434,
