Precinct,County,Registered Voters,Brenda Moore (Rep)_Election Day Votes,Brenda Moore (Rep)_Advanced Voting Votes,Brenda Moore (Rep)_Absentee by Mail Votes,Brenda Moore (Rep)_Provisional Votes,Brenda Moore (Rep)_Choice Total,Total,
New Life Baptist Church,Cook,1233,253,495,75,0,823,823,
Riverbend,Cook,1280,111,461,83,0,655,655,
