Precinct,County,Registered Voters,Derry Bennett (I)_Election Day Votes,Derry Bennett (I)_Advanced Voting Votes,Derry Bennett (I)_Absentee by Mail Votes,Derry Bennett (I)_Provisional Votes,Derry Bennett (I)_Choice Total,Total,
Cecil,Cook,1899,214,644,130,0,988,988,
Delle Beamguard,Cook,2446,269,1002,227,0,1498,1498,
Elm Pine,Cook,531,62,80,62,0,204,204,
Lenox,Cook,1275,286,405,88,0,779,779,
Massee,Cook,919,109,437,49,0,595,595,
New Life Baptist Church,Cook,1233,254,510,77,0,841,841,
Riverbend,Cook,1280,137,576,122,0,835,835,
Sparks,Cook,1049,158,218,83,0,459,459,
