Precinct,County,Registered Voters,Rick Jasperse (I) (Rep)_Election Day Votes,Rick Jasperse (I) (Rep)_Advanced Voting Votes,Rick Jasperse (I) (Rep)_Absentee by Mail Votes,Rick Jasperse (I) (Rep)_Provisional Votes,Rick Jasperse (I) (Rep)_Choice Total,Kayla Hollifield (Dem)_Election Day Votes,Kayla Hollifield (Dem)_Advanced Voting Votes,Kayla Hollifield (Dem)_Absentee by Mail Votes,Kayla Hollifield (Dem)_Provisional Votes,Kayla Hollifield (Dem)_Choice Total,Total,
Yellow Creek,Pickens,3571,789,973,335,0,2097,104,188,227,0,519,2616,
Sharptop,Pickens,2616,587,700,335,0,1622,86,134,207,0,427,2049,
Appalachian,Pickens,1933,390,585,163,0,1138,62,101,70,0,233,1371,
Refuge,Pickens,2490,552,762,183,0,1497,58,101,74,0,233,1730,
Hill,Pickens,2042,528,576,169,1,1274,64,97,77,1,239,1513,
Hinton,Pickens,825,314,148,39,0,501,30,18,9,0,57,558,
Jerusalem,Pickens,1145,495,199,65,0,759,30,19,30,0,79,838,
Ludville,Pickens,721,305,93,32,0,430,24,13,11,0,48,478,
Nelson,Pickens,1474,413,365,93,0,871,47,54,52,0,153,1024,
Talking Rock,Pickens,1781,473,465,142,3,1083,26,61,38,0,125,1208,
Jasper,Pickens,2517,450,628,165,1,1244,93,125,96,0,314,1558,
Tate,Pickens,2651,653,779,201,1,1634,75,100,66,0,241,1875,
