Precinct,County,Registered Voters,Farran Fullilove_Election Day Votes,Farran Fullilove_Advanced Voting Votes,Farran Fullilove_Absentee by Mail Votes,Farran Fullilove_Provisional Votes,Farran Fullilove_Choice Total,Total,
West Kingsland,Camden,2782,134,373,81,0,588,588,
North Kingsland,Camden,2599,184,515,172,0,871,871,
Kingsland,Camden,2274,194,551,167,0,912,912,
East Kingsland,Camden,6866,533,2072,626,0,3231,3231,
