Precinct,County,Registered Voters,Trevor W. Readdick (Rep)_Election Day Votes,Trevor W. Readdick (Rep)_Advanced Voting Votes,Trevor W. Readdick (Rep)_Absentee by Mail Votes,Trevor W. Readdick (Rep)_Provisional Votes,Trevor W. Readdick (Rep)_Choice Total,Total,
North St Marys,Camden,2095,222,409,128,0,759,759,
South St Marys,Camden,2139,95,255,101,1,452,452,
Mush Bluff,Camden,2816,307,865,224,0,1396,1396,
