Precinct,County,Registered Voters,Emily C. Davis (I) (Dem)_Election Day Votes,Emily C. Davis (I) (Dem)_Advanced Voting Votes,Emily C. Davis (I) (Dem)_Absentee by Mail Votes,Emily C. Davis (I) (Dem)_Provisional Votes,Emily C. Davis (I) (Dem)_Choice Total,Total,
South Milledgeville,Baldwin,1259,52,178,83,0,313,313,
City Hall Annex,Baldwin,957,52,112,79,1,244,244,
Boddie,Baldwin,1381,143,266,158,0,567,567,
Fire Dept,Baldwin,1481,92,308,208,0,608,608,
North Milledgeville,Baldwin,2211,50,163,105,0,318,318,
Meriweather,Baldwin,2832,19,48,26,0,93,93,
East Baldwin,Baldwin,3826,16,69,39,0,124,124,
North Baldwin,Baldwin,3515,12,34,32,0,78,78,
East Hardwick,Baldwin,1313,79,165,114,0,358,358,
