Precinct,County,Registered Voters,"James A. Hale, Jr. (Rep)_Election Day Votes","James A. Hale, Jr. (Rep)_Advanced Voting Votes","James A. Hale, Jr. (Rep)_Absentee by Mail Votes","James A. Hale, Jr. (Rep)_Provisional Votes","James A. Hale, Jr. (Rep)_Choice Total",Total,
City Hall,Oconee,3910,336,1827,533,0,2696,2696,
Colham Ferry,Oconee,1847,207,922,257,1,1387,1387,
Antioch,Oconee,1397,248,620,199,0,1067,1067,
Farmington,Oconee,737,162,283,85,0,530,530,
Bishop,Oconee,1938,241,922,238,2,1403,1403,
High Shoals,Oconee,1939,233,1013,227,0,1473,1473,
North Oconee,Oconee,1244,190,619,168,0,977,977,
Dark Corner,Oconee,3541,466,1825,431,1,2723,2723,
Bogart,Oconee,2384,362,994,316,0,1672,1672,
Marswood Hall,Oconee,4091,322,1866,799,0,2987,2987,
East Oconee,Oconee,2647,164,1195,370,0,1729,1729,
Civic Center,Oconee,4396,345,2105,726,0,3176,3176,
