Precinct,County,Registered Voters,Joey Proctor (I) (Rep)_Election Day Votes,Joey Proctor (I) (Rep)_Advanced Voting Votes,Joey Proctor (I) (Rep)_Absentee by Mail Votes,Joey Proctor (I) (Rep)_Provisional Votes,Joey Proctor (I) (Rep)_Choice Total,Total,
Bentons,Monroe,2297,364,1029,237,1,1631,1631,
Brantleys,Monroe,1123,231,557,70,0,858,858,
Burgays,Monroe,2268,451,1005,225,4,1685,1685,
Cabaniss,Monroe,800,204,237,44,1,486,486,
Cox,Monroe,718,161,299,46,0,506,506,
Culloden,Monroe,454,133,90,45,1,269,269,
Dillards,Monroe,996,166,409,55,0,630,630,
Evers,Monroe,2127,309,979,161,0,1449,1449,
Forsyth,Monroe,4640,327,1529,429,0,2285,2285,
High Falls,Monroe,1994,367,654,148,1,1170,1170,
Kelseys,Monroe,722,143,217,66,0,426,426,
Middlebrooks,Monroe,1319,226,583,85,0,894,894,
Proctors,Monroe,1214,257,364,78,0,699,699,
Russellville,Monroe,466,145,136,24,0,305,305,
