Precinct,County,Registered Voters,Dale Washburn (I) (Rep)_Election Day Votes,Dale Washburn (I) (Rep)_Advanced Voting Votes,Dale Washburn (I) (Rep)_Absentee by Mail Votes,Dale Washburn (I) (Rep)_Provisional Votes,Dale Washburn (I) (Rep)_Choice Total,Total,
Bentons,Monroe,2297,360,1032,233,1,1626,1626,
Brantleys,Monroe,1123,236,557,68,0,861,861,
Burgays,Monroe,2268,450,1008,228,4,1690,1690,
Dillards,Monroe,996,160,405,53,0,618,618,
Evers,Monroe,2127,298,971,157,0,1426,1426,
Forsyth,Monroe,4640,131,621,130,0,882,882,
Kelseys,Monroe,722,140,207,61,0,408,408,
Middlebrooks,Monroe,1319,220,578,85,0,883,883,
