Precinct,County,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,
Cox,Monroe,718,161,294,42,0,497,497,
Culloden,Monroe,454,141,91,45,1,278,278,
Forsyth,Monroe,4640,183,835,256,0,1274,1274,
Russellville,Monroe,466,149,137,25,0,311,311,
