Precinct,County,Registered Voters,Eddie Rowland (I) (Rep)_Election Day Votes,Eddie Rowland (I) (Rep)_Advanced Voting Votes,Eddie Rowland (I) (Rep)_Absentee by Mail Votes,Eddie Rowland (I) (Rep)_Provisional Votes,Eddie Rowland (I) (Rep)_Choice Total,Total,
Bentons,Monroe,2297,4,16,7,1,28,28,
Brantleys,Monroe,1123,229,552,71,0,852,852,
Burgays,Monroe,2268,26,89,15,1,131,131,
Cox,Monroe,718,155,291,48,0,494,494,
Culloden,Monroe,454,137,91,42,1,271,271,
Dillards,Monroe,996,10,23,0,0,33,33,
Evers,Monroe,2127,2,17,4,0,23,23,
Forsyth,Monroe,4640,106,625,106,0,837,837,
Kelseys,Monroe,722,144,210,68,0,422,422,
Russellville,Monroe,466,145,135,21,0,301,301,
