Precinct,County,Registered Voters,J. Michael Moore (I) (Rep)_Election Day Votes,J. Michael Moore (I) (Rep)_Advanced Voting Votes,J. Michael Moore (I) (Rep)_Absentee by Mail Votes,J. Michael Moore (I) (Rep)_Provisional Votes,J. Michael Moore (I) (Rep)_Choice Total,Total,
Colbert,Madison,3342,555,1159,341,1,2056,2056,
Collins,Madison,647,197,182,54,0,433,433,
Comer,Madison,1441,298,429,136,0,863,863,
Danielsville,Madison,3003,329,1291,352,0,1972,1972,
Fork,Madison,566,182,106,45,0,333,333,
Harrison,Madison,610,243,157,57,0,457,457,
Hull,Madison,4376,681,1310,512,1,2504,2504,
Ila,Madison,1746,329,566,203,0,1098,1098,
Mill,Madison,1646,346,624,165,1,1136,1136,
Paoli,Madison,267,108,67,28,0,203,203,
Pittman,Madison,1949,415,621,260,0,1296,1296,
Poca,Madison,1127,297,326,123,0,746,746,
