Precinct,County,Registered Voters,"Julie """"Coach"""" Harrison (I) (Rep)_Election Day Votes","Julie """"Coach"""" Harrison (I) (Rep)_Advanced Voting Votes","Julie """"Coach"""" Harrison (I) (Rep)_Absentee by Mail Votes","Julie """"Coach"""" Harrison (I) (Rep)_Provisional Votes","Julie """"Coach"""" Harrison (I) (Rep)_Choice Total",Total,
Colbert,Madison,3342,550,1132,335,1,2018,2018,
Collins,Madison,647,198,179,55,0,432,432,
Comer,Madison,1441,287,419,134,0,840,840,
Danielsville,Madison,3003,319,1244,338,0,1901,1901,
Fork,Madison,566,179,102,46,0,327,327,
Harrison,Madison,610,236,155,58,0,449,449,
Hull,Madison,4376,676,1296,516,1,2489,2489,
Ila,Madison,1746,316,556,204,0,1076,1076,
Mill,Madison,1646,339,616,167,1,1123,1123,
Paoli,Madison,267,105,66,26,0,197,197,
Pittman,Madison,1949,406,614,255,0,1275,1275,
Poca,Madison,1127,293,327,117,0,737,737,
