Precinct,County,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total,
Hahira Train Depot,Lowndes,5526,966,2105,398,11,3480,3480,
Trinity,Lowndes,10900,930,3313,925,30,5198,5198,
Northside,Lowndes,17467,1087,5746,1651,63,8547,8547,
Naylor,Lowndes,1291,259,412,79,1,751,751,
Rainwater,Lowndes,9877,803,3582,896,42,5323,5323,
Mildred,Lowndes,4283,254,623,272,10,1159,1159,
Clyattville,Lowndes,4755,698,1388,368,14,2468,2468,
Dasher,Lowndes,4255,671,1612,328,20,2631,2631,
S Lowndes,Lowndes,3967,785,1305,325,15,2430,2430,
VSU UC # 2,Lowndes,318,43,42,9,1,95,95,
Jaycee Shack,Lowndes,6273,340,1265,473,23,2101,2101,
Northgate Assembly,Lowndes,1997,127,476,107,17,727,727,
Mt Calvary,Lowndes,4447,171,536,175,40,922,922,
