Precinct,County,Registered Voters,Clay Griner (I) (Rep)_Election Day Votes,Clay Griner (I) (Rep)_Advanced Voting Votes,Clay Griner (I) (Rep)_Absentee by Mail Votes,Clay Griner (I) (Rep)_Provisional Votes,Clay Griner (I) (Rep)_Choice Total,Total,
Hahira Train Depot,Lowndes,5526,962,2086,382,9,3439,3439,
Trinity,Lowndes,10900,11,48,47,5,111,111,
Northside,Lowndes,17467,895,5160,1370,38,7463,7463,
Rainwater,Lowndes,9877,792,3560,888,39,5279,5279,
Clyattville,Lowndes,4755,705,1379,366,14,2464,2464,
Dasher,Lowndes,4255,197,511,107,11,826,826,
S Lowndes,Lowndes,3967,780,1297,324,15,2416,2416,
Northgate Assembly,Lowndes,1997,89,310,64,14,477,477,
