Precinct,County,Registered Voters,Gregory Soles (Rep)_Election Day Votes,Gregory Soles (Rep)_Advanced Voting Votes,Gregory Soles (Rep)_Absentee by Mail Votes,Gregory Soles (Rep)_Provisional Votes,Gregory Soles (Rep)_Choice Total,David Moore (I) (Ind)_Election Day Votes,David Moore (I) (Ind)_Advanced Voting Votes,David Moore (I) (Ind)_Absentee by Mail Votes,David Moore (I) (Ind)_Provisional Votes,David Moore (I) (Ind)_Choice Total,Total,
Pearson County,Atkinson,1802,91,384,48,0,523,179,413,62,0,654,1177,
Axson,Atkinson,742,98,158,16,1,273,119,117,12,0,248,521,
Willacoochee,Atkinson,1311,146,188,26,0,360,184,238,49,0,471,831,
Pearson City,Atkinson,944,42,97,22,0,161,96,241,48,0,385,546,
