Precinct,County,Registered Voters,Fonda H. Lee (I) (Rep)_Election Day Votes,Fonda H. Lee (I) (Rep)_Advanced Voting Votes,Fonda H. Lee (I) (Rep)_Absentee by Mail Votes,Fonda H. Lee (I) (Rep)_Provisional Votes,Fonda H. Lee (I) (Rep)_Choice Total,Total,
Pearson County,Atkinson,1802,248,734,86,0,1068,1068,
Axson,Atkinson,742,204,252,28,1,485,485,
Willacoochee,Atkinson,1311,280,364,74,0,718,718,
Pearson City,Atkinson,944,118,268,57,0,443,443,
