Precinct,County,Registered Voters,"Michael """"Mike"""" Thurmond (I) (Dem)_Election Day Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Advanced Voting Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Absentee by Mail Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Provisional Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Choice Total",Total,
Allgood Elem,DeKalb,2858,258,896,611,3,1768,1768,
Ashford Park Elem,DeKalb,2432,188,756,446,1,1391,1391,
Austin,DeKalb,2538,198,792,536,1,1527,1527,
Avondale,DeKalb,2906,299,984,778,1,2062,2062,
Austin Drive,DeKalb,2536,208,644,455,13,1320,1320,
Ashford Dunwoody Rd,DeKalb,2966,166,1072,602,4,1844,1844,
Ashford Parkside,DeKalb,3664,203,1064,820,6,2093,2093,
Avondale High,DeKalb,3151,132,1149,904,4,2189,2189,
Boulevard,DeKalb,4675,257,1877,1191,3,3328,3328,
Briar Vista Elem,DeKalb,2965,198,858,827,0,1883,1883,
Briarlake Elem,DeKalb,1752,137,534,449,1,1121,1121,
Briarwood,DeKalb,2428,169,796,458,2,1425,1425,
Brockett Elem,DeKalb,2752,178,853,585,5,1621,1621,
Briarcliff,DeKalb,3122,167,790,794,6,1757,1757,
Brockett,DeKalb,2681,238,779,535,7,1559,1559,
Brookhaven,DeKalb,3444,271,1202,659,2,2134,2134,
Browns Mill Elem,DeKalb,3829,318,1469,880,5,2672,2672,
Bouldercrest Road,DeKalb,2004,160,774,356,2,1292,1292,
Bethune Middle,DeKalb,4838,338,1374,981,19,2712,2712,
Burgess Elem,DeKalb,3493,194,1349,855,7,2405,2405,
Columbia Drive,DeKalb,2526,221,584,477,8,1290,1290,
Canby Lane Elem,DeKalb,2004,221,544,437,8,1210,1210,
Columbia Elem,DeKalb,1794,147,329,243,9,728,728,
Cedar Grove Elem,DeKalb,4097,306,1490,773,9,2578,2578,
Chamblee,DeKalb,2231,154,748,403,3,1308,1308,
Candler-Murphey Candler Elem,DeKalb,3712,300,1440,655,6,2401,2401,
Chapel Hill Elem,DeKalb,3349,265,1216,699,7,2187,2187,
Chesnut Elem,DeKalb,2363,221,818,375,1,1415,1415,
Clairemont West,DeKalb,3264,143,1195,1064,4,2406,2406,
Clairmont Road,DeKalb,3223,195,902,928,5,2030,2030,
Clarkston,DeKalb,3878,393,961,426,13,1793,1793,
Clifton,DeKalb,1731,125,527,333,5,990,990,
Columbia Middle,DeKalb,2178,154,614,343,6,1117,1117,
Coan Recreation Center,DeKalb,4230,206,1605,891,4,2706,2706,
Cross Keys High,DeKalb,2260,159,621,504,4,1288,1288,
Crossroads,DeKalb,2898,246,875,636,8,1765,1765,
Candler,DeKalb,3537,248,1020,597,13,1878,1878,
Cedar Grove Middle,DeKalb,1896,132,503,267,5,907,907,
Cedar Grove South,DeKalb,3962,271,1588,750,6,2615,2615,
Covington Hwy,DeKalb,995,53,102,61,6,222,222,
Covington,DeKalb,2376,139,704,369,6,1218,1218,
Clairemont East,DeKalb,3226,114,1142,1137,3,2396,2396,
Coralwood,DeKalb,3153,160,1043,948,3,2154,2154,
Candler Park,DeKalb,4018,121,1709,1228,2,3060,3060,
Clarkston Community Center,DeKalb,2495,227,614,385,10,1236,1236,
Chamblee 2,DeKalb,3137,162,1166,626,0,1954,1954,
Doraville North,DeKalb,3065,312,769,461,7,1549,1549,
Doraville South,DeKalb,1255,123,332,211,2,668,668,
Dresden Elem,DeKalb,5141,391,1411,948,6,2756,2756,
Decatur,DeKalb,1937,84,879,477,1,1441,1441,
Dunaire Elem,DeKalb,2268,193,637,432,7,1269,1269,
Dunwoody,DeKalb,3003,169,974,562,7,1712,1712,
Dunwoody 2,DeKalb,2044,103,694,389,3,1189,1189,
Druid Hills High,DeKalb,2725,136,662,647,2,1447,1447,
Dunwoody Library,DeKalb,2570,92,934,501,2,1529,1529,
East Lake,DeKalb,4139,234,1566,922,7,2729,2729,
Embry Hills,DeKalb,1721,107,521,428,0,1056,1056,
Evansdale Elem,DeKalb,3441,261,1069,732,3,2065,2065,
Emory South,DeKalb,3241,191,1047,888,7,2133,2133,
Emory Road,DeKalb,2290,125,640,430,7,1202,1202,
Fairington Elem,DeKalb,5455,447,1586,660,19,2712,2712,
Fernbank Elem,DeKalb,2125,126,701,726,1,1554,1554,
Flat Shoals Elem,DeKalb,2409,200,635,422,9,1266,1266,
Flat Shoals Parkway,DeKalb,3449,204,1317,753,4,2278,2278,
Flat Rock Elem,DeKalb,3142,258,1339,540,6,2143,2143,
Flat Shoals,DeKalb,2649,188,652,457,7,1304,1304,
Flakes Mill Fire Station,DeKalb,2103,119,756,428,7,1310,1310,
Flat Shoals Library,DeKalb,2788,243,735,427,3,1408,1408,
Freedom Middle,DeKalb,3227,295,873,552,10,1730,1730,
Glennwood,DeKalb,2715,86,885,816,6,1793,1793,
Glenhaven,DeKalb,1880,225,489,325,4,1043,1043,
Gresham Road,DeKalb,3601,219,1164,778,16,2177,2177,
Georgetown Sq,DeKalb,4155,256,1389,646,6,2297,2297,
Glenwood Road,DeKalb,2293,205,555,397,4,1161,1161,
Hambrick Elem,DeKalb,3776,314,1094,647,10,2065,2065,
Hawthorne Elem,DeKalb,3884,302,1219,681,7,2209,2209,
Henderson Mill,DeKalb,3104,186,986,708,2,1882,1882,
Huntley Hills Elem,DeKalb,3508,327,1184,535,5,2051,2051,
Hugh Howell,DeKalb,1773,164,577,356,1,1098,1098,
Harris-Narvie J Harris Elem,DeKalb,4031,179,1614,779,10,2582,2582,
Harris-Margaret Harris ED,DeKalb,1462,129,493,306,4,932,932,
Idlewood Elem,DeKalb,2472,225,753,433,8,1419,1419,
Indian Creek,DeKalb,2318,176,522,366,12,1076,1076,
Johnson Estates,DeKalb,1600,50,523,538,0,1111,1111,
Jolly Elem,DeKalb,3679,270,917,633,13,1833,1833,
Kelley Lake Elem,DeKalb,3015,280,769,585,3,1637,1637,
Kingsley Elem,DeKalb,2490,168,715,575,9,1467,1467,
Kelley Chapel Road,DeKalb,1337,127,459,317,1,904,904,
Knollwood,DeKalb,2546,267,673,468,11,1419,1419,
Kittredge Elem,DeKalb,2161,127,741,487,3,1358,1358,
Lakeside High,DeKalb,3216,215,1058,721,0,1994,1994,
Lavista Road,DeKalb,2223,142,585,626,3,1356,1356,
Lavista,DeKalb,3223,209,884,640,9,1742,1742,
Lithonia,DeKalb,1730,240,397,217,2,856,856,
Lin-Mary Lin Elem,DeKalb,3009,139,1089,893,8,2129,2129,
Lithonia High,DeKalb,3610,345,1084,537,13,1979,1979,
Livsey Elem,DeKalb,1350,84,484,306,0,874,874,
Miller-Eldridge L Miller Elem 3455,DeKalb,309,956,714,7,1986,1986,,
McNair High,DeKalb,4160,275,1413,945,6,2639,2639,
Marbut Elem,DeKalb,4234,323,1418,630,19,2390,2390,
McNair,DeKalb,2794,186,825,603,5,1619,1619,
