Precinct,County,Registered Voters,Zulma Lopez (Dem)_Election Day Votes,Zulma Lopez (Dem)_Advanced Voting Votes,Zulma Lopez (Dem)_Absentee by Mail Votes,Zulma Lopez (Dem)_Provisional Votes,Zulma Lopez (Dem)_Choice Total,Total,
Allgood Elem,DeKalb,2858,255,903,610,1,1769,1769,
Austin Drive,DeKalb,2536,204,641,452,10,1307,1307,
Briarlake Elem,DeKalb,1752,128,526,473,1,1128,1128,
Clarkston,DeKalb,3878,220,595,217,2,1034,1034,
Coralwood,DeKalb,3153,150,1032,953,1,2136,2136,
Clarkston Community Center,DeKalb,2495,3,18,11,0,32,32,
Dunaire Elem,DeKalb,2268,190,634,432,3,1259,1259,
Glenhaven,DeKalb,1880,225,488,323,0,1036,1036,
Glenwood Road,DeKalb,2293,202,546,401,3,1152,1152,
Jolly Elem,DeKalb,3679,268,921,638,9,1836,1836,
Lakeside High,DeKalb,3216,122,695,541,1,1359,1359,
Montreal,DeKalb,2586,174,732,468,2,1376,1376,
Memorial South,DeKalb,3138,252,728,391,14,1385,1385,
Northlake,DeKalb,1509,123,456,415,1,995,995,
Peachcrest,DeKalb,2458,176,623,448,2,1249,1249,
Rehoboth,DeKalb,1813,100,490,568,0,1158,1158,
Rowland Elem,DeKalb,3765,291,920,586,3,1800,1800,
Rowland Road,DeKalb,2080,187,591,418,2,1198,1198,
