Precinct,County,Registered Voters,Pam Stephenson (I) (Dem)_Election Day Votes,Pam Stephenson (I) (Dem)_Advanced Voting Votes,Pam Stephenson (I) (Dem)_Absentee by Mail Votes,Pam Stephenson (I) (Dem)_Provisional Votes,Pam Stephenson (I) (Dem)_Choice Total,Total,
Browns Mill Elem,DeKalb,3829,314,1461,872,3,2650,2650,
Bethune Middle,DeKalb,4838,335,1365,971,10,2681,2681,
Canby Lane Elem,DeKalb,2004,218,535,435,3,1191,1191,
Kelley Chapel Road,DeKalb,1337,123,463,319,1,906,906,
Miller Grove Road,DeKalb,2151,184,739,500,1,1424,1424,
Rainbow Elem,DeKalb,3768,263,1190,836,5,2294,2294,
Salem Middle,DeKalb,3519,220,1382,819,3,2424,2424,
Snapfinger Road S,DeKalb,1960,156,716,433,0,1305,1305,
Wesley Chapel Library,DeKalb,2922,196,1098,704,5,2003,2003,
