Precinct,County,Registered Voters,Donna Coleman-Stribling (I) (Dem)_Election Day Votes,Donna Coleman-Stribling (I) (Dem)_Advanced Voting Votes,Donna Coleman-Stribling (I) (Dem)_Absentee by Mail Votes,Donna Coleman-Stribling (I) (Dem)_Provisional Votes,Donna Coleman-Stribling (I) (Dem)_Choice Total,Total,
Flat Rock Elem,DeKalb,3142,258,1329,540,6,2133,2133,
Flat Shoals,DeKalb,2649,189,649,455,7,1300,1300,
Flakes Mill Fire Station,DeKalb,2103,120,751,422,7,1300,1300,
Flat Shoals Library,DeKalb,2788,243,728,423,3,1397,1397,
Freedom Middle,DeKalb,3227,294,869,548,10,1721,1721,
Glennwood,DeKalb,2715,86,875,802,6,1769,1769,
Glenhaven,DeKalb,1880,222,482,318,4,1026,1026,
Gresham Road,DeKalb,3601,216,1156,771,14,2157,2157,
Georgetown Sq,DeKalb,4155,258,1372,641,7,2278,2278,
Glenwood Road,DeKalb,2293,199,542,401,4,1146,1146,
Hambrick Elem,DeKalb,3776,302,1098,642,10,2052,2052,
Hawthorne Elem,DeKalb,3884,291,1217,682,7,2197,2197,
Henderson Mill,DeKalb,3104,182,970,692,2,1846,1846,
Huntley Hills Elem,DeKalb,3508,319,1179,531,5,2034,2034,
Hugh Howell,DeKalb,1773,153,559,346,1,1059,1059,
Harris-Narvie J Harris Elem,DeKalb,4031,178,1603,778,10,2569,2569,
Harris-Margaret Harris ED,DeKalb,1462,129,492,306,4,931,931,
Idlewood Elem,DeKalb,2472,226,740,432,7,1405,1405,
Indian Creek,DeKalb,2318,173,509,367,13,1062,1062,
Johnson Estates,DeKalb,1600,49,520,526,0,1095,1095,
Jolly Elem,DeKalb,3679,269,923,632,15,1839,1839,
Kelley Lake Elem,DeKalb,3015,276,754,571,3,1604,1604,
Kingsley Elem,DeKalb,2490,167,692,562,9,1430,1430,
Kelley Chapel Road,DeKalb,1337,123,458,317,1,899,899,
Knollwood,DeKalb,2546,257,658,464,10,1389,1389,
Kittredge Elem,DeKalb,2161,124,738,473,4,1339,1339,
Lakeside High,DeKalb,3216,209,1038,712,0,1959,1959,
Lavista Road,DeKalb,2223,141,583,623,3,1350,1350,
Lavista,DeKalb,3223,208,876,633,8,1725,1725,
Lithonia,DeKalb,1730,236,391,219,2,848,848,
Lin-Mary Lin Elem,DeKalb,3009,139,1096,882,8,2125,2125,
Lithonia High,DeKalb,3610,348,1082,537,13,1980,1980,
Livsey Elem,DeKalb,1350,82,472,298,0,852,852,
Miller-Eldridge L Miller Elem 3455,DeKalb,305,945,708,7,1965,1965,,
McNair High,DeKalb,4160,273,1403,944,6,2626,2626,
Marbut Elem,DeKalb,4234,323,1405,631,19,2378,2378,
McNair,DeKalb,2794,181,821,601,5,1608,1608,
McLendon,DeKalb,3607,187,1047,878,10,2122,2122,
McWilliams,DeKalb,2517,150,974,553,4,1681,1681,
Medlock,DeKalb,2208,144,703,662,2,1511,1511,
Midvale Elem,DeKalb,2747,159,844,647,3,1653,1653,
Miller Grove,DeKalb,4747,341,1386,680,15,2422,2422,
Montclair Elem,DeKalb,2194,219,654,243,8,1124,1124,
Montreal,DeKalb,2586,198,822,512,2,1534,1534,
Meadowview,DeKalb,3511,226,988,759,11,1984,1984,
Memorial South,DeKalb,3138,247,703,381,19,1350,1350,
Midway,DeKalb,3139,180,746,626,7,1559,1559,
McNair Academy,DeKalb,1900,131,611,435,5,1182,1182,
Mount Vernon East,DeKalb,2651,173,882,471,3,1529,1529,
Mathis-Bob Mathis Elem,DeKalb,2789,223,936,697,5,1861,1861,
Mount Vernon West,DeKalb,2303,107,843,422,8,1380,1380,
Metropolitan,DeKalb,3405,177,1351,734,10,2272,2272,
Montgomery Elem,DeKalb,2446,165,807,526,5,1503,1503,
Miller Grove Road,DeKalb,2151,182,738,497,5,1422,1422,
Midvale Road,DeKalb,1832,151,634,324,2,1111,1111,
Miller Grove High,DeKalb,3470,280,976,450,10,1716,1716,
North Decatur,DeKalb,2166,121,631,520,12,1284,1284,
North Hairston,DeKalb,2329,228,639,414,8,1289,1289,
Northlake,DeKalb,1509,124,453,403,1,981,981,
North Peachtree,DeKalb,1916,158,523,299,5,985,985,
Oak Grove Elem,DeKalb,2253,168,688,588,0,1444,1444,
Oakcliff Elem,DeKalb,2125,270,459,291,9,1029,1029,
Oakhurst,DeKalb,2398,110,1045,695,2,1852,1852,
Oak View Elem,DeKalb,5011,357,1714,741,18,2830,2830,
Peachcrest,DeKalb,2458,177,619,436,4,1236,1236,
Peachtree Middle,DeKalb,3502,243,1189,596,5,2033,2033,
Princeton Elem,DeKalb,2376,169,863,455,5,1492,1492,
Pine Lake,DeKalb,632,243,136,69,0,448,448,
Pleasantdale Road,DeKalb,4538,427,1168,594,10,2199,2199,
Ponce de Leon,DeKalb,3766,116,896,818,12,1842,1842,
Panola,DeKalb,1586,136,475,322,2,935,935,
Panola Way Elem,DeKalb,2252,202,581,318,21,1122,1122,
Piney Grove,DeKalb,2018,163,520,337,7,1027,1027,
Panola Road,DeKalb,2884,192,1023,571,8,1794,1794,
Rainbow Elem,DeKalb,3768,261,1183,835,8,2287,2287,
Redan Elem,DeKalb,3020,204,1144,587,8,1943,1943,
Rehoboth,DeKalb,1813,98,480,549,3,1130,1130,
Rockbridge Elem,DeKalb,3595,315,940,508,17,1780,1780,
Rock Chapel Elem,DeKalb,2910,211,1113,515,7,1846,1846,
Rowland Elem,DeKalb,3765,292,908,580,8,1788,1788,
Redan-Trotti Library,DeKalb,3990,273,1264,735,21,2293,2293,
Rockbridge Road,DeKalb,3965,300,1470,968,8,2746,2746,
Rowland Road,DeKalb,2080,184,583,414,8,1189,1189,
Redan Road,DeKalb,2932,226,895,501,11,1633,1633,
Rock Chapel Road,DeKalb,4178,255,1607,811,18,2691,2691,
Redan Middle,DeKalb,2496,153,862,518,5,1538,1538,
Sagamore Hills Elem,DeKalb,2925,194,918,832,0,1944,1944,
Scott,DeKalb,2805,120,820,870,1,1811,1811,
Shaw-Robert Shaw Elem,DeKalb,2892,251,850,576,3,1680,1680,
Stone Mountain Elem,DeKalb,2338,157,517,581,3,1258,1258,
Silver Lake,DeKalb,4979,232,1531,921,2,2686,2686,
Skyland,DeKalb,2100,177,687,378,6,1248,1248,
Snapfinger Elem,DeKalb,1894,160,604,505,0,1269,1269,
Smoke Rise,DeKalb,2108,144,662,495,1,1302,1302,
Stone Mtn Middle,DeKalb,3247,290,611,321,15,1237,1237,
Stone Mill Elem,DeKalb,3714,341,672,453,15,1481,1481,
Shadow Rock Elem,DeKalb,4347,290,1557,1017,12,2876,2876,
Stoneview Elem,DeKalb,1988,164,484,247,10,905,905,
Salem Middle,DeKalb,3519,220,1394,836,6,2456,2456,
Shamrock,DeKalb,1600,137,465,475,4,1081,1081,
South Deshon,DeKalb,3470,256,1269,635,11,2171,2171,
Stone Mtn Champion,DeKalb,3098,301,776,465,10,1552,1552,
Stone Mtn,DeKalb,1711,183,369,309,2,863,863,
Snapfinger Road N,DeKalb,2705,238,677,464,6,1385,1385,
Snapfinger Road S,DeKalb,1960,157,713,432,3,1305,1305,
Stephenson Middle,DeKalb,3822,297,1391,780,2,2470,2470,
South Hairston,DeKalb,3814,358,1089,622,12,2081,2081,
Stephenson High,DeKalb,3555,260,1185,803,7,2255,2255,
Stonecrest Library,DeKalb,3720,217,1529,540,13,2299,2299,
Snapfinger Road,DeKalb,4872,216,2207,1071,9,3503,3503,
Terry Mill,DeKalb,2808,223,957,590,5,1775,1775,
Toney Elem,DeKalb,1729,152,455,344,6,957,957,
Tucker Library,DeKalb,3506,139,1209,722,4,2074,2074,
Tilly Mill Road,DeKalb,1552,116,493,289,0,898,898,
Tucker,DeKalb,2932,135,955,606,7,1703,1703,
Valley Brook,DeKalb,1037,122,306,245,6,679,679,
Wadsworth,DeKalb,3159,277,864,640,11,1792,1792,
Wesley Chapel Library,DeKalb,2922,193,1110,707,7,2017,2017,
Woodrow Road,DeKalb,3493,248,1095,490,12,1845,1845,
Winnona Park,DeKalb,2020,51,874,570,2,1497,1497,
Woodridge Elem,DeKalb,3851,323,1028,750,12,2113,2113,
Warren Tech,DeKalb,1364,169,360,215,4,748,748,
Woodward,DeKalb,3193,172,985,803,1,1961,1961,
White Oak,DeKalb,2951,315,728,424,7,1474,1474,
Winters Chapel,DeKalb,1434,103,432,316,2,853,853,
Wynbrooke Elem,DeKalb,3496,288,1312,814,13,2427,2427,
Young Road,DeKalb,1951,108,766,426,8,1308,1308,
