Precinct,County,Registered Voters,Karla Drenner (I) (Dem)_Election Day Votes,Karla Drenner (I) (Dem)_Advanced Voting Votes,Karla Drenner (I) (Dem)_Absentee by Mail Votes,Karla Drenner (I) (Dem)_Provisional Votes,Karla Drenner (I) (Dem)_Choice Total,Total,
Avondale,DeKalb,2906,299,1009,793,1,2102,2102,
Avondale High,DeKalb,3151,74,650,546,0,1270,1270,
Columbia Drive,DeKalb,2526,216,584,469,7,1276,1276,
Clairemont West,DeKalb,3264,3,23,14,0,40,40,
Clarkston,DeKalb,3878,149,322,210,2,683,683,
Covington Hwy,DeKalb,995,54,101,61,1,217,217,
Covington,DeKalb,2376,141,699,375,3,1218,1218,
Clarkston Community Center,DeKalb,2495,225,610,376,5,1216,1216,
Glennwood,DeKalb,2715,9,126,102,0,237,237,
Indian Creek,DeKalb,2318,179,519,375,9,1082,1082,
Jolly Elem,DeKalb,3679,0,8,2,0,10,10,
Knollwood,DeKalb,2546,262,665,467,7,1401,1401,
McLendon,DeKalb,3607,186,1057,896,7,2146,2146,
Midway,DeKalb,3139,181,755,624,2,1562,1562,
North Decatur,DeKalb,2166,123,637,530,12,1302,1302,
Shaw-Robert Shaw Elem,DeKalb,2892,250,858,579,2,1689,1689,
Snapfinger Elem,DeKalb,1894,163,604,500,0,1267,1267,
Snapfinger Road N,DeKalb,2705,240,677,467,2,1386,1386,
Valley Brook,DeKalb,1037,120,304,257,5,686,686,
Wadsworth,DeKalb,3159,277,873,652,8,1810,1810,
Winnona Park,DeKalb,2020,2,16,6,0,24,24,
