Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Allgood Elem,DeKalb,2858,47,73,68,1,189,220,892,566,4,1682,13,15,11,0,39,1910,
Ashford Park Elem,DeKalb,2432,213,601,194,0,1008,86,494,365,1,946,14,19,12,0,45,1999,
Austin,DeKalb,2538,242,635,345,3,1225,53,495,400,1,949,13,9,7,0,29,2203,
Avondale,DeKalb,2906,211,226,149,0,586,223,920,737,1,1881,15,21,22,0,58,2525,
Austin Drive,DeKalb,2536,25,33,30,2,90,187,621,428,14,1250,6,22,13,0,41,1381,
Ashford Dunwoody Rd,DeKalb,2966,205,668,256,4,1133,58,758,500,2,1318,9,17,13,0,39,2490,
Ashford Parkside,DeKalb,3664,188,644,319,2,1153,96,789,684,4,1573,10,21,19,0,50,2776,
Avondale High,DeKalb,3151,52,141,101,0,294,109,1115,916,4,2144,15,18,16,0,49,2487,
Boulevard,DeKalb,4675,54,168,85,1,308,243,1820,1177,3,3243,11,31,20,0,62,3613,
Briar Vista Elem,DeKalb,2965,127,211,150,1,489,141,788,776,0,1705,13,9,24,0,46,2240,
Briarlake Elem,DeKalb,1752,139,232,167,0,538,76,451,388,0,915,5,13,14,1,33,1486,
Briarwood,DeKalb,2428,127,415,145,1,688,98,578,392,3,1071,8,15,15,0,38,1797,
Brockett Elem,DeKalb,2752,79,290,198,0,567,136,717,484,7,1344,6,22,14,0,42,1953,
Briarcliff,DeKalb,3122,163,344,313,4,824,93,641,722,3,1459,13,15,21,0,49,2332,
Brockett,DeKalb,2681,147,254,156,3,560,163,686,455,5,1309,19,22,11,0,52,1921,
Brookhaven,DeKalb,3444,271,730,245,1,1247,123,810,549,2,1484,13,27,18,0,58,2789,
Browns Mill Elem,DeKalb,3829,19,43,36,0,98,296,1463,847,5,2611,13,16,15,0,44,2753,
Bouldercrest Road,DeKalb,2004,9,32,14,0,55,158,752,358,2,1270,3,9,3,0,15,1340,
Bethune Middle,DeKalb,4838,27,58,39,4,128,320,1356,946,16,2638,9,16,13,0,38,2804,
Burgess Elem,DeKalb,3493,41,97,53,2,193,171,1328,871,6,2376,12,21,17,0,50,2619,
Columbia Drive,DeKalb,2526,14,14,30,0,58,220,591,428,8,1247,6,8,12,0,26,1331,
Canby Lane Elem,DeKalb,2004,11,22,22,0,55,214,534,416,7,1171,11,8,10,2,31,1257,
Columbia Elem,DeKalb,1794,3,15,9,1,28,148,325,224,10,707,1,6,0,0,7,742,
Cedar Grove Elem,DeKalb,4097,23,40,21,2,86,286,1463,761,9,2519,7,28,14,0,49,2654,
Chamblee,DeKalb,2231,109,332,85,0,526,109,574,376,2,1061,14,23,14,1,52,1639,
Candler-Murphey Candler Elem,DeKalb,3712,29,87,43,0,159,273,1388,614,6,2281,15,22,14,1,52,2492,
Chapel Hill Elem,DeKalb,3349,19,33,22,1,75,250,1189,676,7,2122,9,27,10,0,46,2243,
Chesnut Elem,DeKalb,2363,106,244,86,1,437,173,700,348,1,1222,12,14,6,0,32,1691,
Clairemont West,DeKalb,3264,75,188,163,1,427,111,1144,1059,3,2317,10,22,14,0,46,2790,
Clairmont Road,DeKalb,3223,99,197,199,2,497,146,821,873,4,1844,4,11,12,0,27,2368,
Clarkston,DeKalb,3878,45,94,39,0,178,369,931,413,13,1726,18,21,10,1,50,1954,
Clifton,DeKalb,1731,8,24,15,0,47,128,519,323,5,975,2,7,6,1,16,1038,
Columbia Middle,DeKalb,2178,16,23,1,0,40,146,594,336,6,1082,3,5,11,1,20,1142,
Coan Recreation Center,DeKalb,4230,32,159,79,1,271,186,1537,885,3,2611,13,32,23,0,68,2950,
Cross Keys High,DeKalb,2260,104,275,153,1,533,95,496,445,3,1039,14,8,19,0,41,1613,
Crossroads,DeKalb,2898,17,35,27,0,79,235,862,605,8,1710,6,18,14,0,38,1827,
Candler,DeKalb,3537,37,70,21,1,129,222,984,590,13,1809,12,23,10,0,45,1983,
Cedar Grove Middle,DeKalb,1896,15,18,13,0,46,122,487,253,3,865,6,14,4,1,25,936,
Cedar Grove South,DeKalb,3962,18,44,43,0,105,254,1558,717,5,2534,14,28,10,1,53,2692,
Covington Hwy,DeKalb,995,5,6,3,0,14,51,99,56,4,210,0,4,4,0,8,232,
Covington,DeKalb,2376,45,69,38,0,152,113,673,349,6,1141,7,11,12,0,30,1323,
Clairemont East,DeKalb,3226,60,205,159,3,427,78,1079,1107,1,2265,8,16,11,0,35,2727,
Coralwood,DeKalb,3153,115,389,272,3,779,101,872,882,1,1856,10,16,19,0,45,2680,
Candler Park,DeKalb,4018,60,185,112,0,357,89,1658,1281,2,3030,10,28,11,0,49,3436,
Clarkston Community Center,DeKalb,2495,56,99,46,4,205,197,595,371,7,1170,14,18,9,1,42,1417,
Chamblee 2,DeKalb,3137,138,551,241,0,930,92,893,539,0,1524,12,35,11,0,58,2512,
Doraville North,DeKalb,3065,130,199,121,4,454,265,706,396,4,1371,8,23,18,1,50,1875,
Doraville South,DeKalb,1255,78,101,57,1,237,91,286,195,3,575,2,13,9,0,24,836,
Dresden Elem,DeKalb,5141,193,476,223,4,896,304,1185,863,6,2358,17,43,30,0,90,3344,
Decatur,DeKalb,1937,33,92,39,0,164,67,863,507,1,1438,7,10,10,0,27,1629,
Dunaire Elem,DeKalb,2268,37,70,57,2,166,175,606,398,5,1184,8,21,8,0,37,1387,
Dunwoody,DeKalb,3003,118,460,196,1,775,108,768,518,6,1400,10,18,16,1,45,2220,
Dunwoody 2,DeKalb,2044,139,516,241,4,900,36,487,304,2,829,5,16,7,0,28,1757,
Druid Hills High,DeKalb,2725,88,122,127,1,338,105,621,634,2,1362,6,11,10,0,27,1727,
Dunwoody Library,DeKalb,2570,107,799,307,1,1214,31,565,368,1,965,7,18,16,1,42,2221,
East Lake,DeKalb,4139,55,179,58,2,294,198,1489,917,6,2610,18,44,12,0,74,2978,
Embry Hills,DeKalb,1721,73,251,140,0,464,65,435,374,0,874,6,13,13,0,32,1370,
Evansdale Elem,DeKalb,3441,141,424,245,1,811,175,848,631,4,1658,14,20,13,0,47,2516,
Emory South,DeKalb,3241,109,241,156,0,506,147,933,855,7,1942,9,18,22,0,49,2497,
Emory Road,DeKalb,2290,32,65,67,0,164,118,621,409,7,1155,4,4,7,1,16,1335,
Fairington Elem,DeKalb,5455,18,45,25,0,88,436,1555,634,20,2645,10,35,11,1,57,2790,
Fernbank Elem,DeKalb,2125,88,162,161,3,414,86,638,722,1,1447,4,3,8,0,15,1876,
Flat Shoals Elem,DeKalb,2409,15,19,13,0,47,191,634,403,10,1238,8,8,7,0,23,1308,
Flat Shoals Parkway,DeKalb,3449,19,47,11,0,77,191,1302,747,4,2244,10,17,8,0,35,2356,
Flat Rock Elem,DeKalb,3142,17,46,20,0,83,245,1311,516,6,2078,7,21,8,1,37,2198,
Flat Shoals,DeKalb,2649,12,19,9,0,40,178,644,445,8,1275,12,11,11,0,34,1349,
Flakes Mill Fire Station,DeKalb,2103,9,26,20,0,55,112,740,412,7,1271,4,11,3,0,18,1344,
Flat Shoals Library,DeKalb,2788,10,22,11,0,43,232,728,404,2,1366,10,14,7,1,32,1441,
Freedom Middle,DeKalb,3227,48,70,64,0,182,273,840,529,11,1653,8,18,10,0,36,1871,
Glennwood,DeKalb,2715,41,116,82,2,241,72,847,790,4,1713,8,18,17,0,43,1997,
Glenhaven,DeKalb,1880,40,35,38,0,113,209,479,302,3,993,6,11,5,0,22,1128,
Gresham Road,DeKalb,3601,16,50,37,1,104,212,1154,754,15,2135,10,29,13,0,52,2291,
Georgetown Sq,DeKalb,4155,166,576,203,4,949,184,1109,561,5,1859,10,29,9,1,49,2857,
Glenwood Road,DeKalb,2293,24,34,33,0,91,187,535,379,5,1106,8,5,12,0,25,1222,
Hambrick Elem,DeKalb,3776,80,140,101,2,323,275,1072,592,9,1948,11,22,11,1,45,2316,
Hawthorne Elem,DeKalb,3884,144,355,170,1,670,222,1087,639,5,1953,17,29,14,1,61,2684,
Henderson Mill,DeKalb,3104,119,402,255,0,776,129,794,616,2,1541,12,29,18,0,59,2376,
Huntley Hills Elem,DeKalb,3508,140,345,139,1,625,252,1027,464,5,1748,18,39,17,0,74,2447,
Hugh Howell,DeKalb,1773,111,229,185,1,526,115,469,289,0,873,7,15,7,0,29,1428,
Harris-Narvie J Harris Elem,DeKalb,4031,19,33,18,0,70,162,1594,765,10,2531,5,21,9,0,35,2636,
Harris-Margaret Harris ED,DeKalb,1462,56,77,53,1,187,100,454,300,4,858,8,12,9,0,29,1074,
Idlewood Elem,DeKalb,2472,88,148,89,3,328,187,717,371,7,1282,7,7,9,0,23,1633,
Indian Creek,DeKalb,2318,52,83,66,3,204,143,498,340,11,992,10,15,8,0,33,1229,
Johnson Estates,DeKalb,1600,57,161,133,0,351,32,486,510,0,1028,1,9,7,0,17,1396,
Jolly Elem,DeKalb,3679,92,185,112,4,393,234,889,580,13,1716,15,13,23,0,51,2160,
Kelley Lake Elem,DeKalb,3015,19,40,25,0,84,268,742,563,3,1576,13,18,12,0,43,1703,
Kingsley Elem,DeKalb,2490,200,614,346,4,1164,74,424,434,5,937,11,12,4,0,27,2128,
Kelley Chapel Road,DeKalb,1337,14,12,8,0,34,116,460,317,1,894,3,4,2,0,9,937,
Knollwood,DeKalb,2546,46,40,15,0,101,229,667,452,11,1359,16,7,9,2,34,1494,
Kittredge Elem,DeKalb,2161,145,481,209,2,837,52,513,393,2,960,8,18,19,0,45,1842,
Lakeside High,DeKalb,3216,179,435,306,3,923,131,896,620,0,1647,10,26,18,0,54,2624,
Lavista Road,DeKalb,2223,99,190,182,1,472,99,518,602,4,1223,6,14,11,0,31,1726,
Lavista,DeKalb,3223,117,252,184,4,557,159,793,586,6,1544,16,20,11,0,47,2148,
Lithonia,DeKalb,1730,23,32,16,1,72,226,378,207,2,813,8,9,8,0,25,910,
Lin-Mary Lin Elem,DeKalb,3009,74,179,121,3,377,108,1032,882,4,2026,6,17,12,1,36,2439,
Lithonia High,DeKalb,3610,14,28,16,0,58,336,1066,504,12,1918,13,27,11,0,51,2027,
Livsey Elem,DeKalb,1350,75,235,116,0,426,53,363,267,0,683,3,12,5,0,20,1129,
Miller-Eldridge L Miller Elem 3455,DeKalb,34,56,45,0,135,285,932,676,7,1900,13,13,12,1,39,2074,,
McNair High,DeKalb,4160,46,80,40,0,166,256,1396,949,5,2606,10,25,16,1,52,2824,
Marbut Elem,DeKalb,4234,18,33,19,2,72,314,1393,607,19,2333,13,34,12,0,59,2464,
McNair,DeKalb,2794,19,45,24,0,88,170,818,594,6,1588,10,12,13,2,37,1713,
McLendon,DeKalb,3607,62,230,131,0,423,159,966,840,10,1975,15,24,33,0,72,2470,
McWilliams,DeKalb,2517,19,27,9,0,55,137,961,542,5,1645,7,14,3,0,24,1724,
Medlock,DeKalb,2208,75,145,125,1,346,121,644,635,1,1401,12,16,14,0,42,1789,
Midvale Elem,DeKalb,2747,170,526,318,0,1014,86,636,531,4,1257,10,20,14,0,44,2315,
Miller Grove,DeKalb,4747,21,39,24,2,86,332,1371,670,10,2383,11,22,10,1,44,2513,
Montclair Elem,DeKalb,2194,66,84,22,2,174,180,618,236,7,1041,7,9,4,0,20,1235,
Montreal,DeKalb,2586,90,187,115,0,392,166,753,482,4,1405,12,14,15,1,42,1839,
Meadowview,DeKalb,3511,24,32,28,2,86,212,979,730,10,1931,5,22,20,0,47,2064,
Memorial South,DeKalb,3138,42,64,37,2,145,228,722,360,18,1328,9,10,4,1,24,1497,
Midway,DeKalb,3139,22,58,43,1,124,172,745,600,7,1524,7,17,13,0,37,1685,
McNair Academy,DeKalb,1900,17,27,9,1,54,126,618,443,2,1189,10,8,6,1,25,1268,
