Precinct,County,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total,
Allgood Elem,DeKalb,2858,46,71,70,1,188,227,872,589,4,1692,1880,
Avondale,DeKalb,2906,212,219,151,0,582,229,919,751,1,1900,2482,
Austin Drive,DeKalb,2536,21,25,30,2,78,189,626,447,13,1275,1353,
Avondale High,DeKalb,3151,36,97,61,0,194,59,605,534,0,1198,1392,
Brockett Elem,DeKalb,2752,81,275,203,1,560,133,721,499,6,1359,1919,
Brockett,DeKalb,2681,145,247,151,1,544,168,679,481,7,1335,1879,
Browns Mill Elem,DeKalb,3829,14,40,37,0,91,310,1449,879,5,2643,2734,
Bethune Middle,DeKalb,4838,29,63,33,2,127,317,1335,977,12,2641,2768,
Columbia Drive,DeKalb,2526,21,19,14,0,54,211,577,475,7,1270,1324,
Canby Lane Elem,DeKalb,2004,11,22,26,1,60,218,531,435,8,1192,1252,
Candler-Murphey Candler Elem,DeKalb,3712,30,73,43,1,147,277,1396,641,6,2320,2467,
Chapel Hill Elem,DeKalb,3349,20,31,24,1,76,254,1206,695,4,2159,2235,
Clairemont West,DeKalb,3264,79,184,146,0,409,107,1145,1070,3,2325,2734,
Clairmont Road,DeKalb,3223,92,195,171,1,459,150,809,900,5,1864,2323,
Clarkston,DeKalb,3878,47,81,43,0,171,360,916,415,13,1704,1875,
Crossroads,DeKalb,2898,19,42,25,0,86,232,858,627,6,1723,1809,
Covington Hwy,DeKalb,995,6,5,1,0,12,49,98,63,5,215,227,
Covington,DeKalb,2376,42,72,42,0,156,114,670,357,3,1144,1300,
Coralwood,DeKalb,3153,110,372,239,2,723,105,873,924,2,1904,2627,
Clarkston Community Center,DeKalb,2495,56,90,51,1,198,193,583,380,7,1163,1361,
Dunaire Elem,DeKalb,2268,34,65,59,1,159,175,611,411,6,1203,1362,
Fairington Elem,DeKalb,5455,25,44,27,0,96,427,1566,655,15,2663,2759,
Flat Shoals Parkway,DeKalb,3449,17,53,14,0,84,196,1297,761,4,2258,2342,
Flat Rock Elem,DeKalb,3142,18,46,21,1,86,247,1314,533,6,2100,2186,
Flakes Mill Fire Station,DeKalb,2103,8,32,19,0,59,119,735,424,5,1283,1342,
Freedom Middle,DeKalb,3227,54,62,58,0,174,261,837,543,10,1651,1825,
Glennwood,DeKalb,2715,15,64,49,0,128,31,469,348,1,849,977,
Glenhaven,DeKalb,1880,34,34,33,0,101,215,474,312,4,1005,1106,
Glenwood Road,DeKalb,2293,23,38,39,1,101,193,527,387,3,1110,1211,
Hambrick Elem,DeKalb,3776,79,136,96,3,314,268,1032,606,7,1913,2227,
Hugh Howell,DeKalb,1773,111,222,178,0,511,121,474,302,0,897,1408,
Harris-Narvie J Harris Elem,DeKalb,4031,13,32,18,0,63,174,1596,788,6,2564,2627,
Idlewood Elem,DeKalb,2472,93,132,79,1,305,176,693,392,6,1267,1572,
Indian Creek,DeKalb,2318,53,70,59,3,185,142,480,353,11,986,1171,
Jolly Elem,DeKalb,3679,85,161,118,3,367,231,840,605,12,1688,2055,
Kelley Chapel Road,DeKalb,1337,13,10,8,0,31,118,456,320,1,895,926,
Lithonia,DeKalb,1730,24,30,19,1,74,227,380,214,2,823,897,
Lithonia High,DeKalb,3610,16,26,13,0,55,337,1065,539,11,1952,2007,
Miller-Eldridge L Miller Elem 3455,DeKalb,28,56,45,0,129,295,932,688,7,1922,2051,,
Marbut Elem,DeKalb,4234,19,34,15,1,69,315,1398,631,18,2362,2431,
McLendon,DeKalb,3607,70,231,123,0,424,162,961,875,8,2006,2430,
McWilliams,DeKalb,2517,17,27,8,0,52,143,963,562,3,1671,1723,
Medlock,DeKalb,2208,77,142,108,1,328,120,653,662,1,1436,1764,
Miller Grove,DeKalb,4747,17,41,27,1,86,337,1364,686,10,2397,2483,
Montreal,DeKalb,2586,75,168,110,0,353,171,754,503,3,1431,1784,
Memorial South,DeKalb,3138,38,58,31,2,129,229,679,372,18,1298,1427,
Midway,DeKalb,3139,22,55,40,0,117,176,743,620,5,1544,1661,
Mathis-Bob Mathis Elem,DeKalb,2789,15,34,37,0,86,216,931,699,3,1849,1935,
Miller Grove Road,DeKalb,2151,14,38,10,0,62,171,728,505,5,1409,1471,
Miller Grove High,DeKalb,3470,14,31,15,0,60,277,960,445,7,1689,1749,
North Decatur,DeKalb,2166,42,82,70,1,195,105,600,505,11,1221,1416,
North Hairston,DeKalb,2329,40,64,46,2,152,196,611,398,7,1212,1364,
Northlake,DeKalb,1509,107,129,115,0,351,81,402,381,1,865,1216,
Oak Grove Elem,DeKalb,2253,135,280,169,1,585,104,580,569,0,1253,1838,
Peachcrest,DeKalb,2458,31,57,31,0,119,162,601,439,3,1205,1324,
Princeton Elem,DeKalb,2376,14,35,12,0,61,163,843,453,1,1460,1521,
Pine Lake,DeKalb,632,35,6,7,0,48,219,135,72,0,426,474,
Panola,DeKalb,1586,14,31,19,0,64,128,462,327,2,919,983,
Panola Way Elem,DeKalb,2252,13,22,12,0,47,198,575,321,21,1115,1162,
Panola Road,DeKalb,2884,13,26,8,0,47,181,997,575,8,1761,1808,
Rainbow Elem,DeKalb,3768,18,43,35,1,97,249,1192,850,7,2298,2395,
Redan Elem,DeKalb,3020,19,33,14,1,67,196,1134,598,6,1934,2001,
Rehoboth,DeKalb,1813,108,163,157,1,429,59,422,516,2,999,1428,
Rockbridge Elem,DeKalb,3595,35,67,38,6,146,299,911,511,14,1735,1881,
Rock Chapel Elem,DeKalb,2910,8,40,20,1,69,213,1099,511,5,1828,1897,
Rowland Elem,DeKalb,3765,31,56,37,0,124,275,899,581,7,1762,1886,
Redan-Trotti Library,DeKalb,3990,14,37,22,0,73,260,1251,752,20,2283,2356,
Rockbridge Road,DeKalb,3965,30,59,35,1,125,281,1449,963,9,2702,2827,
Rowland Road,DeKalb,2080,31,36,43,0,110,168,577,409,9,1163,1273,
Redan Road,DeKalb,2932,18,29,26,1,74,219,882,513,12,1626,1700,
Rock Chapel Road,DeKalb,4178,30,107,78,2,217,239,1568,786,16,2609,2826,
Redan Middle,DeKalb,2496,16,50,25,1,92,147,842,521,4,1514,1606,
Sagamore Hills Elem,DeKalb,2925,166,330,276,0,772,120,778,787,0,1685,2457,
Scott,DeKalb,2805,68,161,127,2,358,89,754,875,0,1718,2076,
Shaw-Robert Shaw Elem,DeKalb,2892,45,78,50,0,173,227,825,559,1,1612,1785,
Stone Mountain Elem,DeKalb,2338,36,101,214,0,351,142,493,550,3,1188,1539,
Snapfinger Elem,DeKalb,1894,17,20,18,1,56,159,608,506,0,1273,1329,
Smoke Rise,DeKalb,2108,135,312,213,1,661,84,536,442,0,1062,1723,
Stone Mtn Middle,DeKalb,3247,32,37,53,0,122,281,602,303,15,1201,1323,
Stone Mill Elem,DeKalb,3714,35,51,36,0,122,318,645,437,13,1413,1535,
Shadow Rock Elem,DeKalb,4347,29,51,49,0,129,276,1547,1022,7,2852,2981,
Stoneview Elem,DeKalb,1988,10,30,17,0,57,162,480,248,10,900,957,
Salem Middle,DeKalb,3519,19,45,21,0,85,213,1366,833,6,2418,2503,
Shamrock,DeKalb,1600,77,134,91,0,302,116,414,471,5,1006,1308,
South Deshon,DeKalb,3470,21,45,25,1,92,246,1249,629,10,2134,2226,
Stone Mtn Champion,DeKalb,3098,63,63,51,0,177,273,742,451,8,1474,1651,
Stone Mtn,DeKalb,1711,45,91,32,1,169,157,330,302,2,791,960,
Snapfinger Road N,DeKalb,2705,12,37,22,0,71,232,663,474,5,1374,1445,
Snapfinger Road S,DeKalb,1960,25,21,14,0,60,144,713,433,2,1292,1352,
Stephenson Middle,DeKalb,3822,51,72,33,0,156,272,1361,773,1,2407,2563,
South Hairston,DeKalb,3814,33,42,27,2,104,342,1068,631,12,2053,2157,
Stephenson High,DeKalb,3555,22,80,32,1,135,246,1163,801,5,2215,2350,
Stonecrest Library,DeKalb,3720,22,48,18,2,90,202,1508,552,10,2272,2362,
Snapfinger Road,DeKalb,4872,11,67,18,0,96,212,2186,1088,7,3493,3589,
Valley Brook,DeKalb,1037,48,55,45,2,150,107,279,244,4,634,784,
Wadsworth,DeKalb,3159,9,26,15,0,50,202,609,445,4,1260,1310,
Wesley Chapel Library,DeKalb,2922,9,36,20,0,65,197,1093,708,6,2004,2069,
Woodrow Road,DeKalb,3493,15,50,38,0,103,241,1070,474,12,1797,1900,
Winnona Park,DeKalb,2020,0,2,4,0,6,2,14,5,0,21,27,
Woodridge Elem,DeKalb,3851,23,59,41,0,123,308,1013,757,11,2089,2212,
White Oak,DeKalb,2951,19,15,13,1,48,300,725,428,4,1457,1505,
Wynbrooke Elem,DeKalb,3496,30,69,33,0,132,270,1283,816,12,2381,2513,
Young Road,DeKalb,1951,14,26,10,0,50,96,755,436,6,1293,1343,
