Precinct,County,Registered Voters,Gloria S. Butler (I) (Dem)_Election Day Votes,Gloria S. Butler (I) (Dem)_Advanced Voting Votes,Gloria S. Butler (I) (Dem)_Absentee by Mail Votes,Gloria S. Butler (I) (Dem)_Provisional Votes,Gloria S. Butler (I) (Dem)_Choice Total,Total,
Austin Drive,DeKalb,2536,206,634,438,10,1288,1288,
Crossroads,DeKalb,2898,246,867,627,3,1743,1743,
Glenhaven,DeKalb,1880,220,482,316,2,1020,1020,
Glenwood Road,DeKalb,2293,198,542,396,3,1139,1139,
Miller-Eldridge L Miller Elem 3455,DeKalb,306,944,699,3,1952,1952,,
Marbut Elem,DeKalb,4234,321,1405,627,14,2367,2367,
Miller Grove,DeKalb,4747,1,7,2,2,12,12,
Princeton Elem,DeKalb,2376,162,844,443,1,1450,1450,
Panola,DeKalb,1586,136,472,321,2,931,931,
Panola Way Elem,DeKalb,2252,201,579,317,17,1114,1114,
Panola Road,DeKalb,2884,18,133,81,0,232,232,
Redan Elem,DeKalb,3020,202,1141,589,5,1937,1937,
Rock Chapel Elem,DeKalb,2910,214,1109,514,5,1842,1842,
Redan-Trotti Library,DeKalb,3990,270,1270,742,16,2298,2298,
Rockbridge Road,DeKalb,3965,299,1469,958,8,2734,2734,
Redan Road,DeKalb,2932,228,900,506,10,1644,1644,
Redan Middle,DeKalb,2496,153,862,512,3,1530,1530,
Shadow Rock Elem,DeKalb,4347,288,1559,1021,8,2876,2876,
South Deshon,DeKalb,3470,257,1262,627,8,2154,2154,
Stephenson Middle,DeKalb,3822,296,1397,777,0,2470,2470,
Stephenson High,DeKalb,3555,254,1193,800,6,2253,2253,
Woodridge Elem,DeKalb,3851,320,1022,737,9,2088,2088,
White Oak,DeKalb,2951,307,721,425,2,1455,1455,
Young Road,DeKalb,1951,104,765,426,4,1299,1299,
