Precinct,County,Registered Voters,Renitta Shannon (I) (Dem)_Election Day Votes,Renitta Shannon (I) (Dem)_Advanced Voting Votes,Renitta Shannon (I) (Dem)_Absentee by Mail Votes,Renitta Shannon (I) (Dem)_Provisional Votes,Renitta Shannon (I) (Dem)_Choice Total,Total,
Avondale High,DeKalb,3151,58,517,389,3,967,967,
Columbia Elem,DeKalb,1794,149,334,238,3,724,724,
Chapel Hill Elem,DeKalb,3349,262,1208,683,3,2156,2156,
Clairemont West,DeKalb,3264,137,1180,1056,2,2375,2375,
Clairmont Road,DeKalb,3223,189,903,929,6,2027,2027,
Columbia Middle,DeKalb,2178,154,605,341,3,1103,1103,
Candler,DeKalb,3537,250,1022,594,8,1874,1874,
East Lake,DeKalb,4139,0,2,2,0,4,4,
Flat Shoals Parkway,DeKalb,3449,202,1305,740,1,2248,2248,
Flakes Mill Fire Station,DeKalb,2103,120,744,425,3,1292,1292,
Flat Shoals Library,DeKalb,2788,244,728,416,1,1389,1389,
Glennwood,DeKalb,2715,75,754,710,2,1541,1541,
Medlock,DeKalb,2208,145,706,682,1,1534,1534,
Mathis-Bob Mathis Elem,DeKalb,2789,227,943,698,2,1870,1870,
Scott,DeKalb,2805,118,828,894,0,1840,1840,
Shamrock,DeKalb,1600,137,468,483,2,1090,1090,
Snapfinger Road,DeKalb,4872,220,2209,1068,5,3502,3502,
Toney Elem,DeKalb,1729,154,452,350,2,958,958,
Winnona Park,DeKalb,2020,50,866,580,2,1498,1498,
