Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Allgood Elem,DeKalb,2858,235,863,536,2,1636,31,73,90,1,195,1831,
Ashford Park Elem,DeKalb,2432,203,731,414,1,1349,64,227,112,0,403,1752,
Austin,DeKalb,2538,218,859,565,3,1645,58,167,116,0,341,1986,
Avondale,DeKalb,2906,322,915,742,1,1980,79,151,116,0,346,2326,
Austin Drive,DeKalb,2536,189,594,381,10,1174,22,54,75,3,154,1328,
Ashford Dunwoody Rd,DeKalb,2966,187,1017,578,5,1787,61,276,137,1,475,2262,
Ashford Parkside,DeKalb,3664,200,1040,793,5,2038,60,252,140,1,453,2491,
Avondale High,DeKalb,3151,124,1059,849,3,2035,29,139,125,0,293,2328,
Boulevard,DeKalb,4675,239,1697,1072,3,3011,41,160,123,0,324,3335,
Briar Vista Elem,DeKalb,2965,198,787,746,1,1732,52,125,117,0,294,2026,
Briarlake Elem,DeKalb,1752,155,540,458,0,1153,40,104,77,0,221,1374,
Briarwood,DeKalb,2428,168,730,428,4,1330,47,179,82,0,308,1638,
Brockett Elem,DeKalb,2752,172,831,576,6,1585,30,141,75,1,247,1832,
Briarcliff,DeKalb,3122,184,773,751,5,1713,52,135,156,2,345,2058,
Brockett,DeKalb,2681,270,802,509,3,1584,49,96,94,2,241,1825,
Brookhaven,DeKalb,3444,265,1101,600,2,1968,87,288,142,0,517,2485,
Browns Mill Elem,DeKalb,3829,275,1344,732,6,2357,41,139,143,0,323,2680,
Bouldercrest Road,DeKalb,2004,157,715,296,2,1170,12,72,56,0,140,1310,
Bethune Middle,DeKalb,4838,311,1256,830,17,2414,34,131,139,2,306,2720,
Burgess Elem,DeKalb,3493,178,1225,792,6,2201,27,118,89,1,235,2436,
Columbia Drive,DeKalb,2526,203,533,383,7,1126,22,62,77,1,162,1288,
Canby Lane Elem,DeKalb,2004,212,483,346,9,1050,22,68,83,0,173,1223,
Columbia Elem,DeKalb,1794,133,306,203,8,650,14,28,30,2,74,724,
Cedar Grove Elem,DeKalb,4097,274,1347,650,9,2280,37,151,108,1,297,2577,
Chamblee,DeKalb,2231,164,724,349,1,1238,46,139,68,1,254,1492,
Candler-Murphey Candler Elem,DeKalb,3712,288,1308,541,5,2142,20,149,99,2,270,2412,
Chapel Hill Elem,DeKalb,3349,251,1101,582,6,1940,21,116,117,1,255,2195,
Chesnut Elem,DeKalb,2363,229,762,356,2,1349,30,132,54,0,216,1565,
Clairemont West,DeKalb,3264,136,1081,994,3,2214,36,164,139,0,339,2553,
Clairmont Road,DeKalb,3223,189,845,843,4,1881,42,108,139,1,290,2171,
Clarkston,DeKalb,3878,379,924,357,9,1669,30,83,55,2,170,1839,
Clifton,DeKalb,1731,118,476,280,5,879,10,59,53,1,123,1002,
Columbia Middle,DeKalb,2178,150,563,291,5,1009,8,54,41,1,104,1113,
Coan Recreation Center,DeKalb,4230,192,1428,813,1,2434,26,152,121,1,300,2734,
Cross Keys High,DeKalb,2260,158,585,487,4,1234,35,123,74,0,232,1466,
Crossroads,DeKalb,2898,221,801,540,6,1568,25,92,90,0,207,1775,
Candler,DeKalb,3537,235,932,512,11,1690,19,97,78,1,195,1885,
Cedar Grove Middle,DeKalb,1896,123,454,221,4,802,15,51,35,1,102,904,
Cedar Grove South,DeKalb,3962,265,1441,647,5,2358,18,147,86,0,251,2609,
Covington Hwy,DeKalb,995,52,90,49,6,197,4,11,14,0,29,226,
Covington,DeKalb,2376,133,646,318,5,1102,19,73,57,0,149,1251,
Clairemont East,DeKalb,3226,97,1003,1053,4,2157,33,183,143,0,359,2516,
Coralwood,DeKalb,3153,162,999,960,5,2126,42,183,139,0,364,2490,
Candler Park,DeKalb,4018,109,1544,1170,1,2824,29,162,169,1,361,3185,
Clarkston Community Center,DeKalb,2495,226,591,321,9,1147,22,67,67,0,156,1303,
Chamblee 2,DeKalb,3137,174,1111,603,0,1888,35,249,101,0,385,2273,
Doraville North,DeKalb,3065,312,747,418,5,1482,63,107,69,2,241,1723,
Doraville South,DeKalb,1255,135,323,200,2,660,22,44,48,0,114,774,
Dresden Elem,DeKalb,5141,415,1360,882,7,2664,66,241,160,0,467,3131,
Decatur,DeKalb,1937,84,799,428,1,1312,15,94,69,0,178,1490,
Dunaire Elem,DeKalb,2268,185,584,382,6,1157,23,79,54,1,157,1314,
Dunwoody,DeKalb,3003,174,969,547,5,1695,36,172,107,2,317,2012,
Dunwoody 2,DeKalb,2044,118,741,402,4,1265,38,169,77,1,285,1550,
Druid Hills High,DeKalb,2725,136,612,603,1,1352,36,75,91,0,202,1554,
Dunwoody Library,DeKalb,2570,97,1014,513,2,1626,31,237,105,0,373,1999,
East Lake,DeKalb,4139,223,1427,845,3,2498,36,168,95,4,303,2801,
Embry Hills,DeKalb,1721,109,532,399,0,1040,24,116,87,0,227,1267,
Evansdale Elem,DeKalb,3441,252,1047,726,3,2028,52,167,96,0,315,2343,
Emory South,DeKalb,3241,199,996,828,6,2029,31,109,115,0,255,2284,
Emory Road,DeKalb,2290,120,590,386,7,1103,13,36,53,0,102,1205,
Fairington Elem,DeKalb,5455,410,1460,567,17,2454,49,136,87,1,273,2727,
Fernbank Elem,DeKalb,2125,132,632,703,3,1470,29,93,111,1,234,1704,
Flat Shoals Elem,DeKalb,2409,188,590,345,8,1131,18,56,52,0,126,1257,
