Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Allgood Elem,DeKalb,2858,44,77,80,0,201,227,896,589,6,1718,6,3,3,0,12,1931,
Ashford Park Elem,DeKalb,2432,191,543,156,0,890,103,553,418,1,1075,14,17,8,0,39,2004,
Austin,DeKalb,2538,227,572,302,3,1104,69,555,452,1,1077,13,10,8,0,31,2212,
Avondale,DeKalb,2906,201,200,137,0,538,236,949,784,1,1970,14,17,10,0,41,2549,
Austin Drive,DeKalb,2536,27,39,29,2,97,188,626,452,14,1280,5,8,8,0,21,1398,
Ashford Dunwoody Rd,DeKalb,2966,196,594,195,2,987,66,825,576,2,1469,8,19,10,0,37,2493,
Ashford Parkside,DeKalb,3664,179,600,267,2,1048,106,832,772,5,1715,8,13,12,0,33,2796,
Avondale High,DeKalb,3151,56,127,95,0,278,112,1128,953,4,2197,10,20,7,0,37,2512,
Boulevard,DeKalb,4675,48,145,62,1,256,242,1864,1233,2,3341,13,14,17,0,44,3641,
Briar Vista Elem,DeKalb,2965,118,198,130,1,447,152,796,836,0,1784,10,12,11,0,33,2264,
Briarlake Elem,DeKalb,1752,121,211,144,0,476,90,472,431,1,994,8,11,5,0,24,1494,
Briarwood,DeKalb,2428,115,387,112,1,615,110,604,442,4,1160,5,14,11,0,30,1805,
Brockett Elem,DeKalb,2752,76,281,192,0,549,136,733,511,7,1387,6,11,11,0,28,1964,
