Precinct,County,Registered Voters,Joel Cochran (I) (Dem)_Election Day Votes,Joel Cochran (I) (Dem)_Advanced Voting Votes,Joel Cochran (I) (Dem)_Absentee by Mail Votes,Joel Cochran (I) (Dem)_Provisional Votes,Joel Cochran (I) (Dem)_Choice Total,Total,
Riddleville,Washington,561,143,112,93,1,349,349,
Warthen,Washington,742,214,140,131,1,486,486,
Tennille,Washington,2512,351,765,358,3,1477,1477,
Oconee,Washington,581,154,120,88,1,363,363,
Harrison,Washington,1005,265,235,121,2,623,623,
Davisboro,Washington,814,209,190,119,0,518,518,
Sandersville,Washington,6221,627,2005,1171,0,3803,3803,
Deepstep,Washington,554,180,105,71,1,357,357,
