Precinct,County,Registered Voters,E.K. May (I) (Dem)_Election Day Votes,E.K. May (I) (Dem)_Advanced Voting Votes,E.K. May (I) (Dem)_Absentee by Mail Votes,E.K. May (I) (Dem)_Provisional Votes,E.K. May (I) (Dem)_Choice Total,Total,
Riddleville,Washington,561,143,110,93,1,347,347,
Warthen,Washington,742,213,140,129,1,483,483,
Tennille,Washington,2512,365,758,347,3,1473,1473,
Oconee,Washington,581,151,119,88,1,359,359,
Harrison,Washington,1005,265,224,123,2,614,614,
Davisboro,Washington,814,215,185,115,0,515,515,
Sandersville,Washington,6221,630,2005,1160,0,3795,3795,
Deepstep,Washington,554,183,99,67,1,350,350,
