Precinct,County,Registered Voters,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_Choice Total",Total,
Riddleville,Washington,561,100,75,79,1,255,255,
Warthen,Washington,742,152,103,117,1,373,373,
Tennille,Washington,2512,320,626,351,3,1300,1300,
Oconee,Washington,581,95,97,88,1,281,281,
Harrison,Washington,1005,194,160,119,0,473,473,
Davisboro,Washington,814,175,141,100,0,416,416,
Sandersville,Washington,6221,578,1606,1122,1,3307,3307,
Deepstep,Washington,554,115,65,69,1,250,250,
