Precinct,County,Registered Voters,Mack Jackson (I) (Dem)_Election Day Votes,Mack Jackson (I) (Dem)_Advanced Voting Votes,Mack Jackson (I) (Dem)_Absentee by Mail Votes,Mack Jackson (I) (Dem)_Provisional Votes,Mack Jackson (I) (Dem)_Choice Total,Total,
Riddleville,Washington,561,124,99,90,1,314,314,
Warthen,Washington,742,189,124,134,1,448,448,
Tennille,Washington,2512,353,739,373,3,1468,1468,
Oconee,Washington,581,116,109,94,1,320,320,
Harrison,Washington,1005,229,205,125,1,560,560,
Davisboro,Washington,814,203,170,111,0,484,484,
Sandersville,Washington,6221,632,1915,1216,1,3764,3764,
Deepstep,Washington,554,147,83,72,1,303,303,
