Precinct,County,Registered Voters,Roger Slaton (I) (Rep)_Election Day Votes,Roger Slaton (I) (Rep)_Advanced Voting Votes,Roger Slaton (I) (Rep)_Absentee by Mail Votes,Roger Slaton (I) (Rep)_Provisional Votes,Roger Slaton (I) (Rep)_Choice Total,Total,
West,Dawson,2723,402,979,406,0,1787,1787,
Central,Dawson,9891,956,4457,871,2,6286,6286,
East,Dawson,8915,1067,3824,1013,0,5904,5904,
