Precinct,County,Registered Voters,Billy Thurmond (I) (Rep)_Election Day Votes,Billy Thurmond (I) (Rep)_Advanced Voting Votes,Billy Thurmond (I) (Rep)_Absentee by Mail Votes,Billy Thurmond (I) (Rep)_Provisional Votes,Billy Thurmond (I) (Rep)_Choice Total,Total,
West,Dawson,2723,405,997,408,0,1810,1810,
Central,Dawson,9891,970,4487,882,2,6341,6341,
East,Dawson,8915,1083,3884,1054,1,6022,6022,
