Precinct,County,Registered Voters,Sylvia W. Hollums (I) (Rep)_Election Day Votes,Sylvia W. Hollums (I) (Rep)_Advanced Voting Votes,Sylvia W. Hollums (I) (Rep)_Absentee by Mail Votes,Sylvia W. Hollums (I) (Rep)_Provisional Votes,Sylvia W. Hollums (I) (Rep)_Choice Total,Total,
01,Spalding,2260,195,180,163,29,567,567,
02,Spalding,1956,167,170,162,16,515,515,
03,Spalding,2774,288,996,394,177,1855,1855,
05,Spalding,3715,315,710,348,117,1490,1490,
06,Spalding,2438,200,306,218,16,740,740,
07,Spalding,1705,368,545,243,18,1174,1174,
08,Spalding,1789,317,563,247,22,1149,1149,
09,Spalding,1950,402,542,228,27,1199,1199,
10,Spalding,1981,346,583,225,17,1171,1171,
11,Spalding,2506,516,728,258,21,1523,1523,
12,Spalding,2163,478,672,260,29,1439,1439,
13,Spalding,2586,611,659,260,47,1577,1577,
14,Spalding,1985,448,355,194,23,1020,1020,
16,Spalding,4596,377,811,538,35,1761,1761,
17,Spalding,2011,320,461,151,21,953,953,
19,Spalding,2664,461,765,319,20,1565,1565,
20,Spalding,2190,506,629,218,22,1375,1375,
21,Spalding,4716,382,1401,1029,29,2841,2841,
