Precinct,County,Registered Voters,David Knight (I) (Rep)_Election Day Votes,David Knight (I) (Rep)_Advanced Voting Votes,David Knight (I) (Rep)_Absentee by Mail Votes,David Knight (I) (Rep)_Provisional Votes,David Knight (I) (Rep)_Choice Total,Sheila Henley (Dem)_Election Day Votes,Sheila Henley (Dem)_Advanced Voting Votes,Sheila Henley (Dem)_Absentee by Mail Votes,Sheila Henley (Dem)_Provisional Votes,Sheila Henley (Dem)_Choice Total,Total,
01,Spalding,2260,53,47,31,10,141,255,281,280,37,853,994,
02,Spalding,1956,37,45,16,9,107,271,271,278,15,835,942,
03,Spalding,2774,260,864,333,158,1615,57,220,155,47,479,2094,
05,Spalding,3715,147,393,159,65,764,184,394,267,91,936,1700,
06,Spalding,2438,56,138,82,10,286,256,369,302,14,941,1227,
07,Spalding,1705,332,465,192,16,1005,61,139,89,4,293,1298,
09,Spalding,1950,372,506,196,25,1099,43,76,72,7,198,1297,
11,Spalding,2506,419,600,180,17,1216,156,240,179,11,586,1802,
17,Spalding,2011,253,376,91,16,736,109,151,128,8,396,1132,
19,Spalding,2664,9,31,14,15,69,1,12,4,4,21,90,
20,Spalding,2190,467,589,175,22,1253,59,85,78,4,226,1479,
21,Spalding,4716,320,1192,724,26,2262,111,493,770,6,1380,3642,
