Precinct,County,Registered Voters,Michael Pryor (Rep)_Election Day Votes,Michael Pryor (Rep)_Advanced Voting Votes,Michael Pryor (Rep)_Absentee by Mail Votes,Michael Pryor (Rep)_Provisional Votes,Michael Pryor (Rep)_Choice Total,Total,
01,Spalding,2260,198,177,155,28,558,558,
02,Spalding,1956,160,161,147,14,482,482,
03,Spalding,2774,293,987,388,169,1837,1837,
05,Spalding,3715,315,708,340,117,1480,1480,
06,Spalding,2438,199,294,192,14,699,699,
07,Spalding,1705,368,545,238,17,1168,1168,
08,Spalding,1789,319,559,234,22,1134,1134,
09,Spalding,1950,400,541,227,28,1196,1196,
10,Spalding,1981,345,573,219,17,1154,1154,
11,Spalding,2506,521,719,251,18,1509,1509,
12,Spalding,2163,477,669,261,29,1436,1436,
13,Spalding,2586,610,654,266,44,1574,1574,
14,Spalding,1985,442,351,184,23,1000,1000,
16,Spalding,4596,374,803,503,30,1710,1710,
17,Spalding,2011,315,457,145,21,938,938,
19,Spalding,2664,458,767,313,20,1558,1558,
20,Spalding,2190,504,626,208,21,1359,1359,
21,Spalding,4716,381,1402,1015,30,2828,2828,
