Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
01,Spalding,2260,221,231,221,35,708,73,75,77,10,235,943,
02,Spalding,1956,220,211,197,15,643,66,83,75,5,229,872,
03,Spalding,2774,229,732,351,138,1450,79,305,120,51,555,2005,
05,Spalding,3715,302,650,348,99,1399,90,255,150,49,544,1943,
06,Spalding,2438,227,356,231,15,829,70,110,119,8,307,1136,
07,Spalding,1705,263,403,196,9,871,110,166,76,7,359,1230,
08,Spalding,1789,239,407,203,16,865,101,174,86,9,370,1235,
09,Spalding,1950,287,388,170,22,867,112,156,84,8,360,1227,
10,Spalding,1981,284,451,203,15,953,111,217,80,7,415,1368,
11,Spalding,2506,371,572,249,16,1208,184,236,87,6,513,1721,
12,Spalding,2163,350,450,197,22,1019,134,244,106,6,490,1509,
13,Spalding,2586,443,432,194,33,1102,168,239,91,13,511,1613,
14,Spalding,1985,336,255,159,15,765,126,126,69,8,329,1094,
16,Spalding,4596,363,741,507,28,1639,131,320,256,25,732,2371,
17,Spalding,2011,259,343,127,18,747,86,154,80,5,325,1072,
19,Spalding,2664,333,577,279,17,1206,153,264,125,6,548,1754,
20,Spalding,2190,345,431,163,15,954,151,218,84,10,463,1417,
21,Spalding,4716,302,1102,1047,21,2472,108,495,383,9,995,3467,
