Precinct,County,Registered Voters,Gwen Flowers-Taylor (I) (Dem)_Election Day Votes,Gwen Flowers-Taylor (I) (Dem)_Advanced Voting Votes,Gwen Flowers-Taylor (I) (Dem)_Absentee by Mail Votes,Gwen Flowers-Taylor (I) (Dem)_Provisional Votes,Gwen Flowers-Taylor (I) (Dem)_Choice Total,Total,
02,Spalding,1956,268,267,273,11,819,819,
03,Spalding,2774,22,27,22,42,113,113,
05,Spalding,3715,161,267,170,8,606,606,
16,Spalding,4596,109,473,455,43,1080,1080,
17,Spalding,2011,134,162,92,5,393,393,
21,Spalding,4716,2,26,16,12,56,56,
