Precinct,County,Registered Voters,Terry_Election Day Votes,Terry_Advanced Voting Votes,Terry_Absentee by Mail Votes,Terry_Provisional Votes,Terry_Choice Total,Total,
Mt Yonah,White,4468,559,1636,543,2,2740,2740,
Shoal Creek,White,2538,0,6,2,0,8,8,
Tesnatee,White,1231,86,194,45,0,325,325,
