Precinct,County,Registered Voters,Shane M. Geeter (I) (Dem)_Election Day Votes,Shane M. Geeter (I) (Dem)_Advanced Voting Votes,Shane M. Geeter (I) (Dem)_Absentee by Mail Votes,Shane M. Geeter (I) (Dem)_Provisional Votes,Shane M. Geeter (I) (Dem)_Choice Total,Total,
South Milledgeville,Baldwin,1259,112,351,180,0,643,643,
City Hall Annex,Baldwin,957,93,193,124,1,411,411,
Boddie,Baldwin,1381,151,285,151,0,587,587,
Courthouse,Baldwin,506,49,120,62,0,231,231,
Fire Dept,Baldwin,1481,116,438,241,0,795,795,
North Milledgeville,Baldwin,2211,231,815,305,1,1352,1352,
Meriweather,Baldwin,2832,295,1074,347,0,1716,1716,
East Baldwin,Baldwin,3826,375,1350,437,0,2162,2162,
Scottsboro,Baldwin,1101,140,264,112,1,517,517,
North Baldwin,Baldwin,3515,306,1320,414,0,2040,2040,
West Baldwin,Baldwin,1862,229,590,242,0,1061,1061,
East Hardwick,Baldwin,1313,154,232,171,0,557,557,
West Hardwick,Baldwin,2903,292,791,497,0,1580,1580,
Coopers,Baldwin,1574,243,421,154,0,818,818,
