Precinct,County,Registered Voters,Henry R. Craig (I) (Rep)_Election Day Votes,Henry R. Craig (I) (Rep)_Advanced Voting Votes,Henry R. Craig (I) (Rep)_Absentee by Mail Votes,Henry R. Craig (I) (Rep)_Provisional Votes,Henry R. Craig (I) (Rep)_Choice Total,Total,
City Hall Annex,Baldwin,957,1,4,12,0,17,17,
East Baldwin,Baldwin,3826,353,1302,344,0,1999,1999,
Scottsboro,Baldwin,1101,45,121,38,0,204,204,
North Baldwin,Baldwin,3515,164,734,155,0,1053,1053,
East Hardwick,Baldwin,1313,0,0,0,0,0,0,
