Precinct,County,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
South Milledgeville,Baldwin,1259,90,260,107,0,457,457,
City Hall Annex,Baldwin,957,77,161,76,0,314,314,
Boddie,Baldwin,1381,121,213,74,0,408,408,
Courthouse,Baldwin,506,42,111,36,0,189,189,
Fire Dept,Baldwin,1481,102,338,117,0,557,557,
North Milledgeville,Baldwin,2211,218,767,234,1,1220,1220,
Meriweather,Baldwin,2832,330,1160,309,0,1799,1799,
East Baldwin,Baldwin,3826,387,1416,374,0,2177,2177,
Scottsboro,Baldwin,1101,164,297,85,1,547,547,
North Baldwin,Baldwin,3515,362,1572,366,0,2300,2300,
West Baldwin,Baldwin,1862,233,595,172,0,1000,1000,
East Hardwick,Baldwin,1313,112,157,91,0,360,360,
West Hardwick,Baldwin,2903,221,541,221,0,983,983,
Coopers,Baldwin,1574,305,489,109,0,903,903,
