Precinct,County,Registered Voters,Mitch Longino (I) (Dem)_Election Day Votes,Mitch Longino (I) (Dem)_Advanced Voting Votes,Mitch Longino (I) (Dem)_Absentee by Mail Votes,Mitch Longino (I) (Dem)_Provisional Votes,Mitch Longino (I) (Dem)_Choice Total,Total,
South Milledgeville,Baldwin,1259,113,346,191,0,650,650,
City Hall Annex,Baldwin,957,91,188,119,1,399,399,
Boddie,Baldwin,1381,154,282,159,0,595,595,
Courthouse,Baldwin,506,51,126,67,0,244,244,
Fire Dept,Baldwin,1481,118,433,250,0,801,801,
North Milledgeville,Baldwin,2211,230,815,320,0,1365,1365,
Meriweather,Baldwin,2832,292,1047,348,0,1687,1687,
East Baldwin,Baldwin,3826,366,1333,444,0,2143,2143,
Scottsboro,Baldwin,1101,138,256,117,1,512,512,
North Baldwin,Baldwin,3515,310,1311,424,0,2045,2045,
West Baldwin,Baldwin,1862,226,579,247,0,1052,1052,
East Hardwick,Baldwin,1313,151,234,171,0,556,556,
West Hardwick,Baldwin,2903,298,764,487,0,1549,1549,
Coopers,Baldwin,1574,232,417,159,0,808,808,
