Precinct,County,Registered Voters,Chris Hunnicutt (I) (Rep)_Election Day Votes,Chris Hunnicutt (I) (Rep)_Advanced Voting Votes,Chris Hunnicutt (I) (Rep)_Absentee by Mail Votes,Chris Hunnicutt (I) (Rep)_Provisional Votes,Chris Hunnicutt (I) (Rep)_Choice Total,Total,
Crosland,Colquitt,289,93,40,19,0,152,152,
Norman Park,Colquitt,2586,438,688,191,0,1317,1317,
Tyty,Colquitt,543,233,82,35,0,350,350,
Warrior,Colquitt,971,296,265,69,0,630,630,
