Precinct,County,Registered Voters,Mike Boyd (Rep)_Election Day Votes,Mike Boyd (Rep)_Advanced Voting Votes,Mike Boyd (Rep)_Absentee by Mail Votes,Mike Boyd (Rep)_Provisional Votes,Mike Boyd (Rep)_Choice Total,Total,
Moultrie,Colquitt,4809,288,848,278,1,1415,1415,
Autreyville,Colquitt,1512,169,325,59,0,553,553,
