Precinct,County,Registered Voters,Robert Youngblood (I) (Dem)_Election Day Votes,Robert Youngblood (I) (Dem)_Advanced Voting Votes,Robert Youngblood (I) (Dem)_Absentee by Mail Votes,Robert Youngblood (I) (Dem)_Provisional Votes,Robert Youngblood (I) (Dem)_Choice Total,Total,
Greenbriar Church,Dougherty,3885,519,1118,743,5,2385,2385,
Westover High School,Dougherty,3394,549,971,583,0,2103,2103,
Darton College,Dougherty,4289,194,366,184,2,746,746,
Christ Church,Dougherty,1879,385,477,326,1,1189,1189,
1st Christian Church,Dougherty,1505,309,353,218,1,881,881,
