Precinct,County,Registered Voters,Gregory W. Edwards (I) (Dem)_Election Day Votes,Gregory W. Edwards (I) (Dem)_Advanced Voting Votes,Gregory W. Edwards (I) (Dem)_Absentee by Mail Votes,Gregory W. Edwards (I) (Dem)_Provisional Votes,Gregory W. Edwards (I) (Dem)_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,434,487,348,8,1277,1277,
Sherwood Elementary,Dougherty,3205,550,685,428,1,1664,1664,
Covenant Church,Dougherty,2334,453,439,295,2,1189,1189,
Greenbriar Church,Dougherty,3885,523,1125,777,7,2432,2432,
Westover High School,Dougherty,3394,546,974,587,0,2107,2107,
Merry Acres Middle,Dougherty,2432,425,529,352,10,1316,1316,
Darton College,Dougherty,4289,567,1081,683,7,2338,2338,
Westtown Elementary,Dougherty,3265,522,633,678,1,1834,1834,
2nd Mt Zion Church,Dougherty,1465,292,248,236,2,778,778,
Mt Zion Center,Dougherty,3638,561,559,629,2,1751,1751,
Alice Coachman Elementary,Dougherty,750,129,164,207,0,500,500,
Carver Teen Center,Dougherty,1667,234,149,231,2,616,616,
Shiloh Baptist Church,Dougherty,1510,265,183,216,0,664,664,
Litman Cathedral,Dougherty,1486,241,192,209,23,665,665,
Phoebe Healthworks,Dougherty,1574,209,170,197,1,577,577,
Turner Elementary,Dougherty,1205,114,73,70,6,263,263,
Jackson Heights Elementary,Dougherty,2549,395,318,361,0,1074,1074,
Bill Miller Center,Dougherty,2404,359,392,299,5,1055,1055,
Radium Middle School,Dougherty,693,133,129,95,0,357,357,
Putney 1st Baptist Church,Dougherty,2819,555,450,386,1,1392,1392,
International Studies,Dougherty,1042,153,214,203,1,571,571,
Phoebe East,Dougherty,2965,509,400,392,3,1304,1304,
Pine Bluff Baptist Church,Dougherty,2221,391,375,367,0,1133,1133,
Albany Middle School,Dougherty,1963,350,274,258,4,886,886,
Christ Church,Dougherty,1879,415,487,325,1,1228,1228,
Lamar Reese Elementary,Dougherty,1098,181,198,267,5,651,651,
1st Christian Church,Dougherty,1505,307,340,232,1,880,880,
Lovett Hall,Dougherty,1174,195,168,33,1,397,397,
