Precinct,County,Registered Voters,Kevin R. Sproul (I) (Dem)_Election Day Votes,Kevin R. Sproul (I) (Dem)_Advanced Voting Votes,Kevin R. Sproul (I) (Dem)_Absentee by Mail Votes,Kevin R. Sproul (I) (Dem)_Provisional Votes,Kevin R. Sproul (I) (Dem)_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,472,525,364,7,1368,1368,
Sherwood Elementary,Dougherty,3205,586,719,446,1,1752,1752,
Covenant Church,Dougherty,2334,502,454,307,2,1265,1265,
Greenbriar Church,Dougherty,3885,578,1225,815,7,2625,2625,
Westover High School,Dougherty,3394,585,1040,623,0,2248,2248,
Merry Acres Middle,Dougherty,2432,468,578,373,9,1428,1428,
Darton College,Dougherty,4289,573,1110,692,6,2381,2381,
Westtown Elementary,Dougherty,3265,530,633,679,1,1843,1843,
2nd Mt Zion Church,Dougherty,1465,327,265,247,2,841,841,
Mt Zion Center,Dougherty,3638,559,558,628,2,1747,1747,
Alice Coachman Elementary,Dougherty,750,131,165,206,0,502,502,
Carver Teen Center,Dougherty,1667,231,155,234,3,623,623,
Shiloh Baptist Church,Dougherty,1510,265,183,224,0,672,672,
Litman Cathedral,Dougherty,1486,243,192,207,23,665,665,
Phoebe Healthworks,Dougherty,1574,221,175,196,1,593,593,
Turner Elementary,Dougherty,1205,118,75,71,5,269,269,
Jackson Heights Elementary,Dougherty,2549,396,317,354,0,1067,1067,
Bill Miller Center,Dougherty,2404,361,392,298,5,1056,1056,
Radium Middle School,Dougherty,693,141,135,101,0,377,377,
Putney 1st Baptist Church,Dougherty,2819,621,475,401,1,1498,1498,
International Studies,Dougherty,1042,164,222,205,1,592,592,
Phoebe East,Dougherty,2965,518,417,391,3,1329,1329,
Pine Bluff Baptist Church,Dougherty,2221,418,385,382,0,1185,1185,
Albany Middle School,Dougherty,1963,352,280,259,3,894,894,
Christ Church,Dougherty,1879,467,507,348,1,1323,1323,
Lamar Reese Elementary,Dougherty,1098,182,201,265,6,654,654,
1st Christian Church,Dougherty,1505,339,379,248,1,967,967,
Lovett Hall,Dougherty,1174,198,165,33,1,397,397,
