Precinct,County,Registered Voters,Winfred Dukes (I) (Dem)_Election Day Votes,Winfred Dukes (I) (Dem)_Advanced Voting Votes,Winfred Dukes (I) (Dem)_Absentee by Mail Votes,Winfred Dukes (I) (Dem)_Provisional Votes,Winfred Dukes (I) (Dem)_Choice Total,Total,
Westover High School,Dougherty,3394,523,938,565,0,2026,2026,
Darton College,Dougherty,4289,327,546,356,4,1233,1233,
Westtown Elementary,Dougherty,3265,527,638,673,0,1838,1838,
2nd Mt Zion Church,Dougherty,1465,277,241,225,2,745,745,
Mt Zion Center,Dougherty,3638,566,569,636,2,1773,1773,
Alice Coachman Elementary,Dougherty,750,131,163,208,0,502,502,
Carver Teen Center,Dougherty,1667,233,154,230,2,619,619,
Shiloh Baptist Church,Dougherty,1510,269,185,226,0,680,680,
Litman Cathedral,Dougherty,1486,244,192,207,22,665,665,
Radium Middle School,Dougherty,693,131,130,93,0,354,354,
Putney 1st Baptist Church,Dougherty,2819,523,439,372,1,1335,1335,
Lamar Reese Elementary,Dougherty,1098,178,201,268,4,651,651,
