Precinct,County,Registered Voters,Velvet Edwards Poole (I) (Dem)_Election Day Votes,Velvet Edwards Poole (I) (Dem)_Advanced Voting Votes,Velvet Edwards Poole (I) (Dem)_Absentee by Mail Votes,Velvet Edwards Poole (I) (Dem)_Provisional Votes,Velvet Edwards Poole (I) (Dem)_Choice Total,Total,
Shiloh Baptist Church,Dougherty,1510,143,101,116,0,360,360,
Phoebe Healthworks,Dougherty,1574,206,166,185,0,557,557,
Turner Elementary,Dougherty,1205,27,34,23,0,84,84,
Jackson Heights Elementary,Dougherty,2549,390,315,353,0,1058,1058,
Albany Middle School,Dougherty,1963,350,269,255,2,876,876,
Lovett Hall,Dougherty,1174,194,163,26,1,384,384,
