Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
HARBINS A,Gwinnett,7182,370,1542,490,3,2405,326,1564,887,5,2782,26,35,18,1,80,5267,
ROCKBRIDGE A,Gwinnett,3987,104,270,165,0,539,260,1290,651,1,2202,4,11,11,0,26,2767,
DACULA,Gwinnett,4777,241,917,232,1,1391,247,1104,624,1,1976,14,27,9,0,50,3417,
SUWANEE A,Gwinnett,1737,120,296,132,1,549,92,381,207,0,680,9,10,7,0,26,1255,
BAYCREEK A,Gwinnett,2720,237,538,287,0,1062,136,513,392,0,1041,15,11,10,0,36,2139,
GOODWINS A,Gwinnett,3921,312,564,224,1,1101,257,801,563,1,1622,7,12,17,0,36,2759,
DULUTH A,Gwinnett,5042,236,845,397,1,1479,217,1084,999,1,2301,11,23,34,0,68,3848,
DUNCANS A,Gwinnett,4729,346,1518,460,2,2326,137,774,524,0,1435,11,18,10,0,39,3800,
PUCKETTS A,Gwinnett,5692,308,1937,605,1,2851,153,866,543,0,1562,19,40,22,0,81,4494,
CATES A,Gwinnett,2387,171,476,301,1,949,100,359,302,1,762,18,7,11,0,36,1747,
BERKSHIRE A,Gwinnett,2555,175,237,117,0,529,267,431,333,2,1033,10,4,2,0,16,1578,
BERKSHIRE B,Gwinnett,5338,143,540,321,4,1008,287,1401,896,5,2589,9,20,13,0,42,3639,
DUNCANS C,Gwinnett,3040,311,988,270,1,1570,103,467,321,0,891,15,17,8,0,40,2501,
GARNERS A,Gwinnett,3520,202,739,378,2,1321,135,746,514,1,1396,10,29,12,0,51,2768,
LAWRENCEVILLE A,Gwinnett,3635,169,506,266,0,941,242,633,433,5,1313,11,6,8,0,25,2279,
LAWRENCEVILLE B,Gwinnett,5097,146,633,274,3,1056,203,1489,735,1,2428,11,9,10,0,30,3514,
MARTINS A,Gwinnett,3303,143,246,124,3,516,324,770,423,4,1521,8,4,7,0,19,2056,
MARTINS B,Gwinnett,3001,138,337,179,0,654,270,656,373,2,1301,8,7,3,0,18,1973,
MARTINS C,Gwinnett,2549,177,320,184,1,682,220,506,361,5,1092,10,9,7,0,26,1800,
PINCKNEYVILLE A,Gwinnett,2791,128,154,77,3,362,323,601,354,5,1283,4,5,3,0,12,1657,
PINCKNEYVILLE B,Gwinnett,3485,129,264,136,3,532,292,757,394,4,1447,8,8,1,0,17,1996,
PINCKNEYVILLE C,Gwinnett,2082,237,271,232,1,741,130,350,405,4,889,5,3,11,0,19,1649,
PINCKNEYVILLE D,Gwinnett,2264,94,149,82,2,327,264,449,219,3,935,6,2,6,1,15,1277,
SUGAR HILL A,Gwinnett,4654,405,860,331,2,1598,245,661,480,3,1389,18,16,13,0,47,3034,
SUGAR HILL B,Gwinnett,5596,504,1162,408,13,2087,288,950,611,5,1854,20,28,26,0,74,4015,
HOG MOUNTAIN A,Gwinnett,5011,308,727,290,1,1326,334,1102,673,1,2110,14,22,15,0,51,3487,
HOG MOUNTAIN B,Gwinnett,4583,391,1063,426,3,1883,179,782,659,2,1622,11,9,16,0,36,3541,
ROCKYCREEK A,Gwinnett,5939,454,1441,382,0,2277,288,1180,667,4,2139,23,25,18,0,66,4482,
CATES B,Gwinnett,1587,145,319,174,1,639,77,244,209,1,531,10,13,2,0,25,1195,
CATES C,Gwinnett,2903,168,309,193,1,671,174,785,436,3,1398,11,9,9,0,29,2098,
HOG MOUNTAIN D,Gwinnett,3179,272,670,249,1,1192,151,502,404,1,1058,11,14,6,0,31,2281,
BERKSHIRE D,Gwinnett,2945,140,469,282,4,895,117,630,543,3,1293,12,23,14,0,49,2237,
BERKSHIRE E,Gwinnett,1997,155,442,192,0,789,86,374,306,1,767,6,8,10,0,24,1580,
BERKSHIRE F,Gwinnett,2254,173,222,169,0,564,181,379,312,1,873,14,7,7,0,28,1465,
