Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
HARBINS A,Gwinnett,7182,515,2187,929,6,3637,176,809,367,3,1355,4992,
ROCKBRIDGE A,Gwinnett,3987,266,1174,590,1,2031,94,353,190,0,637,2668,
DACULA,Gwinnett,4777,360,1418,622,1,2401,117,533,200,1,851,3252,
SUWANEE A,Gwinnett,1737,148,498,252,1,899,60,146,75,0,281,1180,
BAYCREEK A,Gwinnett,2720,274,749,495,0,1518,93,279,136,0,508,2026,
GOODWINS A,Gwinnett,3921,414,996,585,1,1996,132,323,181,1,637,2633,
DULUTH A,Gwinnett,5042,330,1438,1041,1,2810,112,441,286,1,840,3650,
DUNCANS A,Gwinnett,4729,325,1568,699,1,2593,141,619,239,1,1000,3593,
PUCKETTS A,Gwinnett,5692,363,1951,808,1,3123,97,754,270,0,1121,4244,
CATES A,Gwinnett,2387,216,604,402,2,1224,66,199,160,0,425,1649,
BERKSHIRE A,Gwinnett,2555,339,480,307,2,1128,82,161,110,0,353,1481,
BERKSHIRE B,Gwinnett,5338,312,1469,870,6,2657,95,381,259,1,736,3393,
DUNCANS C,Gwinnett,3040,277,1016,420,1,1714,128,373,137,0,638,2352,
GARNERS A,Gwinnett,3520,258,1082,670,1,2011,76,380,183,1,640,2651,
LAWRENCEVILLE A,Gwinnett,3635,297,805,436,3,1541,104,289,175,0,568,2109,
LAWRENCEVILLE B,Gwinnett,5097,257,1541,698,2,2498,86,506,266,1,859,3357,
MARTINS A,Gwinnett,3303,352,774,377,6,1509,94,198,129,0,421,1930,
MARTINS B,Gwinnett,3001,278,735,390,1,1404,114,226,119,0,459,1863,
MARTINS C,Gwinnett,2549,299,599,397,4,1299,95,201,117,1,414,1713,
PINCKNEYVILLE A,Gwinnett,2791,325,597,322,6,1250,108,134,84,0,326,1576,
PINCKNEYVILLE B,Gwinnett,3485,315,766,379,6,1466,89,194,116,0,399,1865,
PINCKNEYVILLE C,Gwinnett,2082,253,485,481,5,1224,108,122,128,0,358,1582,
PINCKNEYVILLE D,Gwinnett,2264,272,446,219,4,941,73,126,71,1,271,1212,
SUGAR HILL A,Gwinnett,4654,488,1060,536,3,2087,158,401,229,1,789,2876,
SUGAR HILL B,Gwinnett,5596,552,1540,724,8,2824,220,512,240,5,977,3801,
