Precinct,County,Registered Voters,Erica McCurdy (Rep)_Election Day Votes,Erica McCurdy (Rep)_Advanced Voting Votes,Erica McCurdy (Rep)_Absentee by Mail Votes,Erica McCurdy (Rep)_Provisional Votes,Erica McCurdy (Rep)_Choice Total,Beth Moore (I) (Dem)_Election Day Votes,Beth Moore (I) (Dem)_Advanced Voting Votes,Beth Moore (I) (Dem)_Absentee by Mail Votes,Beth Moore (I) (Dem)_Provisional Votes,Beth Moore (I) (Dem)_Choice Total,Total,
PINCKNEYVILLE C,Gwinnett,2082,256,279,250,1,786,119,343,371,4,837,1623,
PINCKNEYVILLE E,Gwinnett,2184,110,98,64,1,273,235,495,272,3,1005,1278,
PINCKNEYVILLE H,Gwinnett,4536,330,712,433,1,1476,241,899,809,1,1950,3426,
DULUTH C,Gwinnett,2229,54,81,74,0,209,51,151,112,0,314,523,
PINCKNEYVILLE N,Gwinnett,3819,129,209,64,0,402,454,935,492,2,1883,2285,
PINCKNEYVILLE L,Gwinnett,2330,295,438,447,0,1180,106,276,433,0,815,1995,
PINCKNEYVILLE M,Gwinnett,2673,342,641,407,0,1390,87,321,430,0,838,2228,
PINCKNEYVILLE P,Gwinnett,2185,173,255,227,0,655,187,396,372,2,957,1612,
DULUTH E,Gwinnett,4814,211,512,240,0,963,416,1175,746,3,2340,3303,
PINCKNEYVILLE U,Gwinnett,2090,194,202,129,0,525,230,411,305,5,951,1476,
PINCKNEYVILLE W,Gwinnett,4253,137,326,232,0,695,93,389,343,0,825,1520,
PINCKNEYVILLE X,Gwinnett,3412,228,553,370,7,1158,184,627,641,8,1460,2618,
PINCKNEYVILLE Z,Gwinnett,1898,287,351,282,0,920,104,223,355,0,682,1602,
PINCKNEYVILLE A1,Gwinnett,2694,306,560,428,0,1294,101,377,498,0,976,2270,
