Precinct,County,Registered Voters,Richard Steele (I) (Rep)_Election Day Votes,Richard Steele (I) (Rep)_Advanced Voting Votes,Richard Steele (I) (Rep)_Absentee by Mail Votes,Richard Steele (I) (Rep)_Provisional Votes,Richard Steele (I) (Rep)_Choice Total,Tiffany Porter (Dem)_Election Day Votes,Tiffany Porter (Dem)_Advanced Voting Votes,Tiffany Porter (Dem)_Absentee by Mail Votes,Tiffany Porter (Dem)_Provisional Votes,Tiffany Porter (Dem)_Choice Total,Total,
HARBINS A,Gwinnett,7182,388,1589,552,4,2533,317,1508,818,3,2646,5179,
ROCKBRIDGE A,Gwinnett,3987,115,296,181,0,592,250,1265,626,1,2142,2734,
DACULA,Gwinnett,4777,256,963,277,1,1497,230,1069,573,1,1873,3370,
SUWANEE A,Gwinnett,1737,126,320,159,0,605,91,352,176,1,620,1225,
BAYCREEK A,Gwinnett,2720,256,564,339,0,1159,123,485,335,0,943,2102,
GOODWINS A,Gwinnett,3921,302,584,261,2,1149,246,766,513,0,1525,2674,
DULUTH A,Gwinnett,5042,258,959,516,2,1735,191,960,851,0,2002,3737,
DUNCANS A,Gwinnett,4729,373,1587,519,1,2480,105,687,440,1,1233,3713,
PUCKETTS A,Gwinnett,5692,327,2037,689,1,3054,142,764,450,0,1356,4410,
CATES A,Gwinnett,2387,182,489,333,0,1004,104,337,265,1,707,1711,
BERKSHIRE A,Gwinnett,2555,190,247,139,0,576,244,415,305,2,966,1542,
BERKSHIRE B,Gwinnett,5338,131,573,384,2,1090,284,1344,794,5,2427,3517,
DUNCANS C,Gwinnett,3040,343,1066,319,1,1729,77,385,259,0,721,2450,
GARNERS A,Gwinnett,3520,218,842,473,1,1534,118,650,405,2,1175,2709,
LAWRENCEVILLE A,Gwinnett,3635,184,523,303,0,1010,221,596,351,4,1172,2182,
LAWRENCEVILLE B,Gwinnett,5097,150,665,325,3,1143,207,1438,672,0,2317,3460,
MARTINS A,Gwinnett,3303,144,250,136,4,534,311,744,395,2,1452,1986,
MARTINS B,Gwinnett,3001,129,362,195,0,686,273,620,341,2,1236,1922,
MARTINS C,Gwinnett,2549,175,336,226,1,738,223,485,307,5,1020,1758,
PINCKNEYVILLE A,Gwinnett,2791,116,163,93,2,374,324,585,327,5,1241,1615,
PINCKNEYVILLE B,Gwinnett,3485,125,276,159,2,562,285,722,355,5,1367,1929,
PINCKNEYVILLE C,Gwinnett,2082,265,297,307,1,870,107,324,315,4,750,1620,
PINCKNEYVILLE D,Gwinnett,2264,78,145,94,1,318,265,432,201,4,902,1220,
SUGAR HILL A,Gwinnett,4654,414,895,380,3,1692,241,616,414,2,1273,2965,
SUGAR HILL B,Gwinnett,5596,526,1234,449,11,2220,269,882,549,4,1704,3924,
HOG MOUNTAIN A,Gwinnett,5011,328,778,348,1,1455,310,1036,603,1,1950,3405,
HOG MOUNTAIN B,Gwinnett,4583,399,1095,493,2,1989,168,727,573,2,1470,3459,
ROCKYCREEK A,Gwinnett,5939,484,1542,450,0,2476,261,1084,595,3,1943,4419,
CATES B,Gwinnett,1587,152,342,206,2,702,77,223,162,0,462,1164,
CATES C,Gwinnett,2903,177,318,213,1,709,180,767,398,2,1347,2056,
HOG MOUNTAIN D,Gwinnett,3179,284,702,289,1,1276,145,463,355,0,963,2239,
BERKSHIRE D,Gwinnett,2945,156,530,351,1,1038,107,570,461,3,1141,2179,
BERKSHIRE E,Gwinnett,1997,172,478,228,0,878,63,331,260,1,655,1533,
BERKSHIRE F,Gwinnett,2254,182,229,181,0,592,177,369,284,1,831,1423,
CATES D,Gwinnett,3755,249,660,366,0,1275,170,794,529,1,1494,2769,
CATES E,Gwinnett,2942,231,602,358,1,1192,136,559,428,1,1124,2316,
PINCKNEYVILLE E,Gwinnett,2184,125,112,78,3,318,218,480,256,6,960,1278,
