Precinct,County,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total,
LAWRENCEVILLE J,Gwinnett,2249,149,227,107,0,483,187,538,285,3,1013,1496,
GOODWINS H,Gwinnett,2796,216,496,205,0,917,164,526,366,2,1058,1975,
DUNCANS B,Gwinnett,5387,565,1682,512,4,2763,213,742,468,2,1425,4188,
SUWANEE D,Gwinnett,4732,438,1317,560,1,2316,158,694,561,2,1415,3731,
SUWANEE E,Gwinnett,4256,369,1131,500,1,2001,118,722,512,1,1353,3354,
LAWRENCEVILLE K,Gwinnett,3282,269,614,337,0,1220,175,616,438,0,1229,2449,
HARBINS B,Gwinnett,4845,340,1271,351,1,1963,192,869,408,3,1472,3435,
BAYCREEK F,Gwinnett,4608,238,582,267,6,1093,281,1325,627,6,2239,3332,
PUCKETTS C,Gwinnett,3367,264,901,256,1,1422,122,505,314,0,941,2363,
HOG MOUNTAIN C,Gwinnett,4292,351,930,360,0,1641,190,684,467,2,1343,2984,
ROCKYCREEK B,Gwinnett,5061,371,1263,402,1,2037,225,932,470,2,1629,3666,
DULUTH I,Gwinnett,5105,301,946,696,0,1943,178,724,836,1,1739,3682,
MARTINS K,Gwinnett,5352,209,402,292,0,903,478,1345,759,4,2586,3489,
SUWANEE H,Gwinnett,3785,336,1206,513,0,2055,106,500,396,1,1003,3058,
SUGAR HILL G,Gwinnett,2814,288,799,282,0,1369,79,374,347,1,801,2170,
SUWANEE F,Gwinnett,3966,305,819,353,2,1479,166,702,538,2,1408,2887,
LAWRENCEVILLE L,Gwinnett,4802,228,772,395,0,1395,270,1089,655,2,2016,3411,
LAWRENCEVILLE M,Gwinnett,7255,252,591,302,3,1148,509,2016,1021,5,3551,4699,
BAYCREEK G,Gwinnett,6241,264,811,322,0,1397,323,1927,876,1,3127,4524,
BAYCREEK H,Gwinnett,6811,367,1403,577,1,2348,326,1689,865,4,2884,5232,
BAYCREEK I,Gwinnett,5899,260,814,394,6,1474,312,1478,745,5,2540,4014,
BERKSHIRE Q,Gwinnett,1802,156,307,190,1,654,109,285,212,1,607,1261,
GOODWINS I,Gwinnett,2501,249,413,310,0,972,150,444,330,0,924,1896,
DULUTH K,Gwinnett,2786,86,160,93,1,340,219,557,303,1,1080,1420,
HARBINS C,Gwinnett,2850,386,633,196,2,1217,163,584,259,1,1007,2224,
ROCKYCREEK C,Gwinnett,4806,344,1218,393,0,1955,227,930,509,4,1670,3625,
LAWRENCEVILLE N,Gwinnett,2573,174,294,174,1,643,202,462,264,6,934,1577,
PUCKETTS D,Gwinnett,3622,255,967,366,4,1592,141,559,365,1,1066,2658,
SUWANEE G,Gwinnett,3904,304,760,300,0,1364,208,787,531,1,1527,2891,
BAYCREEK J,Gwinnett,4567,198,543,274,0,1015,306,1264,617,5,2192,3207,
