Precinct,County,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total,
SUWANEE A,Gwinnett,1737,122,295,151,1,569,93,376,190,0,659,1228,
BAYCREEK A,Gwinnett,2720,253,554,310,0,1117,128,495,370,0,993,2110,
GOODWINS A,Gwinnett,3921,294,568,245,2,1109,257,777,540,0,1574,2683,
DULUTH A,Gwinnett,5042,241,894,448,1,1584,217,1030,931,1,2179,3763,
PUCKETTS A,Gwinnett,5692,317,1981,662,1,2961,151,815,484,0,1450,4411,
CATES A,Gwinnett,2387,171,475,307,0,953,113,347,287,1,748,1701,
BERKSHIRE A,Gwinnett,2555,172,227,121,0,520,254,425,325,1,1005,1525,
LAWRENCEVILLE A,Gwinnett,3635,166,497,281,0,944,237,613,398,3,1251,2195,
LAWRENCEVILLE B,Gwinnett,5097,144,633,286,0,1063,205,1459,716,3,2383,3446,
MARTINS A,Gwinnett,3303,136,216,122,2,476,313,762,408,4,1487,1963,
MARTINS B,Gwinnett,3001,116,346,185,0,647,274,629,358,2,1263,1910,
MARTINS C,Gwinnett,2549,168,320,192,0,680,226,502,348,4,1080,1760,
PINCKNEYVILLE A,Gwinnett,2791,114,144,88,3,349,331,603,337,5,1276,1625,
PINCKNEYVILLE C,Gwinnett,2082,261,280,265,1,807,113,338,364,4,819,1626,
PINCKNEYVILLE D,Gwinnett,2264,80,136,75,1,292,256,435,220,3,914,1206,
SUGAR HILL A,Gwinnett,4654,412,860,339,3,1614,239,649,467,1,1356,2970,
SUGAR HILL B,Gwinnett,5596,514,1189,425,13,2141,279,923,581,4,1787,3928,
HOG MOUNTAIN A,Gwinnett,5011,311,736,320,1,1368,325,1075,639,1,2040,3408,
HOG MOUNTAIN B,Gwinnett,4583,385,1046,430,1,1862,183,773,645,1,1602,3464,
CATES B,Gwinnett,1587,148,334,181,1,664,81,229,191,1,502,1166,
HOG MOUNTAIN D,Gwinnett,3179,283,690,259,1,1233,144,478,388,1,1011,2244,
BERKSHIRE F,Gwinnett,2254,174,215,175,0,564,182,369,294,1,846,1410,
CATES D,Gwinnett,3755,33,91,67,0,191,32,159,100,1,292,483,
PINCKNEYVILLE E,Gwinnett,2184,111,111,69,2,293,231,485,268,4,988,1281,
PINCKNEYVILLE F,Gwinnett,2546,119,229,114,1,463,231,470,329,2,1032,1495,
PINCKNEYVILLE H,Gwinnett,4536,346,735,455,0,1536,226,881,795,3,1905,3441,
LAWRENCEVILLE C,Gwinnett,3037,289,626,276,0,1191,137,477,337,1,952,2143,
MARTINS D,Gwinnett,2402,92,125,92,2,311,266,451,296,1,1014,1325,
CATES F,Gwinnett,1787,212,319,224,0,755,103,296,233,1,633,1388,
CATES G,Gwinnett,2875,206,690,379,0,1275,115,521,423,0,1059,2334,
DULUTH B,Gwinnett,3551,263,552,365,3,1183,185,511,554,1,1251,2434,
PINCKNEYVILLE I,Gwinnett,2635,108,206,126,0,440,251,554,316,2,1123,1563,
SUGAR HILL C,Gwinnett,5085,595,1255,471,1,2322,233,766,512,0,1511,3833,
SUGAR HILL D,Gwinnett,4624,319,1166,336,6,1827,189,762,450,2,1403,3230,
DULUTH C,Gwinnett,2229,188,314,207,2,711,155,378,328,2,863,1574,
DULUTH D,Gwinnett,5077,233,681,293,5,1212,308,1027,681,13,2029,3241,
PINCKNEYVILLE K,Gwinnett,3754,141,210,128,0,479,376,825,452,7,1660,2139,
PINCKNEYVILLE N,Gwinnett,3819,137,201,67,1,406,449,949,493,4,1895,2301,
LAWRENCEVILLE D,Gwinnett,5012,166,270,208,3,647,427,1079,527,8,2041,2688,
LAWRENCEVILLE E,Gwinnett,2355,158,391,260,1,810,148,390,302,1,841,1651,
PINCKNEYVILLE L,Gwinnett,2330,308,435,451,0,1194,96,276,442,0,814,2008,
PINCKNEYVILLE M,Gwinnett,2673,350,641,417,0,1408,80,325,416,0,821,2229,
PUCKETTS E,Gwinnett,5660,304,1070,430,0,1804,233,1129,668,3,2033,3837,
CATES I,Gwinnett,3537,270,600,312,1,1183,179,812,550,1,1542,2725,
GOODWINS B,Gwinnett,3960,326,891,336,1,1554,193,637,541,0,1371,2925,
LAWRENCEVILLE F,Gwinnett,4061,171,338,164,0,673,301,1143,603,3,2050,2723,
MARTINS E,Gwinnett,6193,142,223,98,0,463,600,1420,699,5,2724,3187,
PINCKNEYVILLE P,Gwinnett,2185,176,271,238,0,685,184,380,371,2,937,1622,
PINCKNEYVILLE Q,Gwinnett,1915,73,70,39,1,183,279,430,222,2,933,1116,
GOODWINS C,Gwinnett,5804,307,609,340,0,1256,405,1225,893,0,2523,3779,
BAYCREEK K,Gwinnett,3824,162,677,347,0,1186,155,964,533,0,1652,2838,
CATES K,Gwinnett,2810,259,504,253,3,1019,146,555,374,0,1075,2094,
DULUTH E,Gwinnett,4814,215,531,246,1,993,407,1149,746,6,2308,3301,
GOODWINS D,Gwinnett,4406,403,660,313,1,1377,324,727,569,1,1621,2998,
LAWRENCEVILLE G,Gwinnett,3046,115,303,134,1,553,246,749,427,1,1423,1976,
LAWRENCEVILLE H,Gwinnett,4296,302,791,373,2,1468,224,818,580,2,1624,3092,
MARTINS F,Gwinnett,2570,132,154,102,2,390,238,478,344,4,1064,1454,
PINCKNEYVILLE S,Gwinnett,3374,182,345,238,4,769,335,593,425,3,1356,2125,
SUGAR HILL E,Gwinnett,3589,339,773,307,4,1423,144,649,396,3,1192,2615,
LAWRENCEVILLE I,Gwinnett,3312,212,375,203,0,790,266,651,425,2,1344,2134,
BAYCREEK D,Gwinnett,4609,312,861,356,0,1529,199,1040,611,0,1850,3379,
CATES M,Gwinnett,3988,281,891,479,0,1651,160,798,581,2,1541,3192,
CATES N,Gwinnett,2567,243,567,361,1,1172,124,377,292,0,793,1965,
DULUTH F,Gwinnett,6161,197,391,274,6,868,469,1409,916,14,2808,3676,
DULUTH G,Gwinnett,3067,292,529,340,1,1162,159,490,453,2,1104,2266,
GOODWINS E,Gwinnett,5491,426,867,430,1,1724,321,1024,764,1,2110,3834,
GOODWINS F,Gwinnett,3212,200,451,252,0,903,182,610,481,0,1273,2176,
PINCKNEYVILLE T,Gwinnett,3201,204,330,254,1,789,224,585,423,2,1234,2023,
SUWANEE B,Gwinnett,4656,256,1126,433,0,1815,124,975,613,0,1712,3527,
PINCKNEYVILLE U,Gwinnett,2090,199,205,141,0,545,223,406,294,5,928,1473,
PUCKETTS B,Gwinnett,3096,287,877,256,1,1421,118,492,293,0,903,2324,
BERKSHIRE L,Gwinnett,3265,156,257,161,0,574,337,689,440,1,1467,2041,
SUGAR HILL F,Gwinnett,4112,406,876,348,4,1634,194,604,477,3,1278,2912,
SUWANEE C,Gwinnett,5675,355,1078,501,5,1939,207,988,866,1,2062,4001,
CATES O,Gwinnett,1434,167,240,143,3,553,88,255,203,2,548,1101,
BERKSHIRE M,Gwinnett,1864,178,335,196,2,711,101,329,256,1,687,1398,
MARTINS G,Gwinnett,2425,128,182,103,1,414,263,508,280,0,1051,1465,
DULUTH H,Gwinnett,2813,172,456,299,2,929,145,461,509,2,1117,2046,
PINCKNEYVILLE W,Gwinnett,4253,237,516,387,1,1141,269,773,580,7,1629,2770,
MARTINS H,Gwinnett,5037,244,516,359,6,1125,384,1049,692,7,2132,3257,
MARTINS I,Gwinnett,4078,162,345,226,4,737,361,811,523,2,1697,2434,
MARTINS J,Gwinnett,3923,149,235,116,3,503,460,938,509,5,1912,2415,
BERKSHIRE O,Gwinnett,2589,187,519,309,0,1015,121,429,363,3,916,1931,
BERKSHIRE P,Gwinnett,1476,100,140,78,1,319,122,246,181,1,550,869,
PINCKNEYVILLE X,Gwinnett,3412,238,562,381,8,1189,169,623,640,9,1441,2630,
GOODWINS G,Gwinnett,2661,145,269,96,3,513,252,578,358,1,1189,1702,
PINCKNEYVILLE Z,Gwinnett,1898,304,365,300,0,969,88,211,339,0,638,1607,
