Precinct,County,Registered Voters,Andrew W. Pope (I) (Rep)_Election Day Votes,Andrew W. Pope (I) (Rep)_Advanced Voting Votes,Andrew W. Pope (I) (Rep)_Absentee by Mail Votes,Andrew W. Pope (I) (Rep)_Provisional Votes,Andrew W. Pope (I) (Rep)_Choice Total,Total,
Barwick,Thomas,630,135,230,53,0,418,418,
Boston,Thomas,1632,221,455,145,0,821,821,
Central,Thomas,3523,241,1513,321,0,2075,2075,
Coolidge,Thomas,983,230,298,70,0,598,598,
Douglass,Thomas,2448,176,524,146,0,846,846,
LIttle Ochlocknee Baptist Church1132,Thomas,220,497,91,0,808,808,,
Fire Station #2,Thomas,1404,143,638,174,0,955,955,
Gatlin Creek,Thomas,2069,233,915,201,0,1349,1349,
Harper,Thomas,2001,123,460,153,0,736,736,
Jerger,Thomas,1898,135,814,251,0,1200,1200,
Meigs,Thomas,864,196,190,65,1,452,452,
Metcalfe,Thomas,299,85,84,24,0,193,193,
New Covenant,Thomas,2155,246,943,200,0,1389,1389,
Ochlocknee,Thomas,1175,288,387,59,0,734,734,
Pavo,Thomas,673,194,194,55,0,443,443,
Remington Esc,Thomas,2190,199,840,240,0,1279,1279,
Resource Center,Thomas,1363,89,226,132,0,447,447,
Scott,Thomas,2491,167,1114,252,1,1534,1534,
Merrillville,Thomas,701,66,301,46,0,413,413,
Patten,Thomas,397,90,162,26,0,278,278,
